"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"159",0.22,1,"conj","M2",0,"2","M"
"160",0.22,1,"conj","F2",11232491.203148,"2","F"
"161",0.22,1,"conj","C",997165664.101095,"C","C"
"162",0.23,1,"conj","A1",111647.868300898,"1","A"
"163",0.23,1,"conj","M1",11668763.7605629,"1","M"
"164",0.23,1,"conj","F1",0,"1","F"
"165",0.23,1,"conj","A2",0,"2","A"
"166",0.23,1,"conj","M2",0,"2","M"
"167",0.23,1,"conj","F2",11291988.3188587,"2","F"
"168",0.23,1,"conj","C",997027598.978858,"C","C"
"169",0.24,1,"conj","A1",112183.983328882,"1","A"
"170",0.24,1,"conj","M1",11747323.4155156,"1","M"
"171",0.24,1,"conj","F1",0,"1","F"
"172",0.24,1,"conj","A2",0,"2","A"
"173",0.24,1,"conj","M2",0,"2","M"
"174",0.24,1,"conj","F2",11351800.5009116,"2","F"
"175",0.24,1,"conj","C",996888690.970816,"C","C"
"176",0.25,1,"conj","A1",112722.671949246,"1","A"
"177",0.25,1,"conj","M1",11826411.8619113,"1","M"
"178",0.25,1,"conj","F1",0,"1","F"
"179",0.25,1,"conj","A2",0,"2","A"
"180",0.25,1,"conj","M2",0,"2","M"
"181",0.25,1,"conj","F2",11411929.4167706,"2","F"
"182",0.25,1,"conj","C",996748934.863069,"C","C"
"183",0.26,1,"conj","A1",113263.946508028,"1","A"
"184",0.26,1,"conj","M1",11906032.6576481,"1","M"
"185",0.26,1,"conj","F1",0,"1","F"
"186",0.26,1,"conj","A2",0,"2","A"
"187",0.26,1,"conj","M2",0,"2","M"
"188",0.26,1,"conj","F2",11472376.7427134,"2","F"
"189",0.26,1,"conj","C",996608325.409086,"C","C"
"190",0.27,1,"conj","A1",113807.819410392,"1","A"
"191",0.27,1,"conj","M1",11986189.3845437,"1","M"
"192",0.27,1,"conj","F1",0,"1","F"
"193",0.27,1,"conj","A2",0,"2","A"
"194",0.27,1,"conj","M2",0,"2","M"
"195",0.27,1,"conj","F2",11533144.1638771,"2","F"
"196",0.27,1,"conj","C",996466857.329493,"C","C"
"197",0.28,1,"conj","A1",114354.303120918,"1","A"
"198",0.28,1,"conj","M1",12066885.6484958,"1","M"
"199",0.28,1,"conj","F1",0,"1","F"
"200",0.28,1,"conj","A2",0,"2","A"
"201",0.28,1,"conj","M2",0,"2","M"
"202",0.28,1,"conj","F2",11594233.3743058,"2","F"
"203",0.28,1,"conj","C",996324525.311875,"C","C"
"204",0.29,1,"conj","A1",114903.410163881,"1","A"
"205",0.29,1,"conj","M1",12148125.0796441,"1","M"
"206",0.29,1,"conj","F1",0,"1","F"
"207",0.29,1,"conj","A2",0,"2","A"
"208",0.29,1,"conj","M2",0,"2","M"
"209",0.29,1,"conj","F2",11655646.0769967,"2","F"
"210",0.29,1,"conj","C",996181324.010558,"C","C"
"211",0.3,1,"conj","A1",115455.153123538,"1","A"
"212",0.3,1,"conj","M1",12229911.3325328,"1","M"
"213",0.3,1,"conj","F1",0,"1","F"
"214",0.3,1,"conj","A2",0,"2","A"
"215",0.3,1,"conj","M2",0,"2","M"
"216",0.3,1,"conj","F2",11717383.9839478,"2","F"
"217",0.3,1,"conj","C",996037248.046404,"C","C"
"218",0.31,1,"conj","A1",116009.544644413,"1","A"
"219",0.31,1,"conj","M1",12312248.0862742,"1","M"
"220",0.31,1,"conj","F1",0,"1","F"
"221",0.31,1,"conj","A2",0,"2","A"
"222",0.31,1,"conj","M2",0,"2","M"
"223",0.31,1,"conj","F2",11779448.8162052,"2","F"
"224",0.31,1,"conj","C",995892292.006599,"C","C"
"225",0.32,1,"conj","A1",116566.597431584,"1","A"
"226",0.32,1,"conj","M1",12395139.0447138,"1","M"
"227",0.32,1,"conj","F1",0,"1","F"
"228",0.32,1,"conj","A2",0,"2","A"
"229",0.32,1,"conj","M2",0,"2","M"
"230",0.32,1,"conj","F2",11841842.3039108,"2","F"
"231",0.32,1,"conj","C",995746450.444439,"C","C"
"232",0.33,1,"conj","A1",117126.324250974,"1","A"
"233",0.33,1,"conj","M1",12478587.9365964,"1","M"
"234",0.33,1,"conj","F1",0,"1","F"
"235",0.33,1,"conj","A2",0,"2","A"
"236",0.33,1,"conj","M2",0,"2","M"
"237",0.33,1,"conj","F2",11904566.18635,"2","F"
"238",0.33,1,"conj","C",995599717.879115,"C","C"
"239",0.34,1,"conj","A1",117688.737929637,"1","A"
"240",0.34,1,"conj","M1",12562598.515733,"1","M"
"241",0.34,1,"conj","F1",0,"1","F"
"242",0.34,1,"conj","A2",0,"2","A"
"243",0.34,1,"conj","M2",0,"2","M"
"244",0.34,1,"conj","F2",11967622.2120003,"2","F"
"245",0.34,1,"conj","C",995452088.7955,"C","C"
"246",0.35,1,"conj","A1",118253.851356056,"1","A"
"247",0.35,1,"conj","M1",12647174.561169,"1","M"
"248",0.35,1,"conj","F1",0,"1","F"
"249",0.35,1,"conj","A2",1.02759886733191,"2","A"
"250",0.35,1,"conj","M2",0,"2","M"
"251",0.35,1,"conj","F2",12031012.1385791,"2","F"
"252",0.35,1,"conj","C",995303557.64393,"C","C"
"253",0.36,1,"conj","A1",118821.677480428,"1","A"
"254",0.36,1,"conj","M1",12732319.8773536,"1","M"
"255",0.36,1,"conj","F1",0,"1","F"
"256",0.36,1,"conj","A2",1.06493034091413,"2","A"
"257",0.36,1,"conj","M2",0,"2","M"
"258",0.36,1,"conj","F2",12094737.733093,"2","F"
"259",0.36,1,"conj","C",995154118.839987,"C","C"
"260",0.37,1,"conj","A1",119392.229314966,"1","A"
"261",0.37,1,"conj","M1",12818038.2943105,"1","M"
"262",0.37,1,"conj","F1",0,"1","F"
"263",0.37,1,"conj","A2",1.10276901165662,"2","A"
"264",0.37,1,"conj","M2",0,"2","M"
"265",0.37,1,"conj","F2",12158800.7718865,"2","F"
"266",0.37,1,"conj","C",995003766.764278,"C","C"
"267",0.38,1,"conj","A1",119965.51993419,"1","A"
"268",0.38,1,"conj","M1",12904333.6678092,"1","M"
"269",0.38,1,"conj","F1",0,"1","F"
"270",0.38,1,"conj","A2",1.14112063336894,"2","A"
"271",0.38,1,"conj","M2",0,"2","M"
"272",0.38,1,"conj","F2",12223203.0406909,"2","F"
"273",0.38,1,"conj","C",994852495.762215,"C","C"
"274",0.39,1,"conj","A1",120541.562475224,"1","A"
"275",0.39,1,"conj","M1",12991209.8795378,"1","M"
"276",0.39,1,"conj","F1",0,"1","F"
"277",0.39,1,"conj","A2",1.17999102104873,"2","A"
"278",0.39,1,"conj","M2",0,"2","M"
"279",0.39,1,"conj","F2",12287946.3346743,"2","F"
"280",0.39,1,"conj","C",994700300.143792,"C","C"
"281",0.4,1,"conj","A1",121120.370138096,"1","A"
"282",0.4,1,"conj","M1",13078670.8372772,"1","M"
"283",0.4,1,"conj","F1",0,"1","F"
"284",0.4,1,"conj","A2",1.2193860515146,"2","A"
"285",0.4,1,"conj","M2",0,"2","M"
"286",0.4,1,"conj","F2",12353032.4584907,"2","F"
"287",0.4,1,"conj","C",994547174.183361,"C","C"
"288",0.41,1,"conj","A1",121701.956186039,"1","A"
"289",0.41,1,"conj","M1",13166720.4750757,"1","M"
"290",0.41,1,"conj","F1",0,"1","F"
"291",0.41,1,"conj","A2",1.2593116640455,"2","A"
"292",0.41,1,"conj","M2",0,"2","M"
"293",0.41,1,"conj","F2",12418463.2263305,"2","F"
"294",0.41,1,"conj","C",994393112.119406,"C","C"
"295",0.42,1,"conj","A1",122286.333945791,"1","A"
"296",0.42,1,"conj","M1",13255362.7534258,"1","M"
"297",0.42,1,"conj","F1",0,"1","F"
"298",0.42,1,"conj","A2",1.29977386102663,"2","A"
"299",0.42,1,"conj","M2",0,"2","M"
"300",0.42,1,"conj","F2",12484240.4619704,"2","F"
"301",0.42,1,"conj","C",994238108.15432,"C","C"
"302",0.43,1,"conj","A1",122873.516807894,"1","A"
"303",0.43,1,"conj","M1",13344601.6594412,"1","M"
"304",0.43,1,"conj","F1",0,"1","F"
"305",0.43,1,"conj","A2",1.3407787086019,"2","A"
"306",0.43,1,"conj","M2",1.02997869992414,"2","M"
"307",0.43,1,"conj","F2",12550365.9988239,"2","F"
"308",0.43,1,"conj","C",994082156.45417,"C","C"
"309",0.44,1,"conj","A1",123463.518227007,"1","A"
"310",0.44,1,"conj","M1",13434441.2070357,"1","M"
"311",0.44,1,"conj","F1",0,"1","F"
"312",0.44,1,"conj","A2",1.3823323373331,"2","A"
"313",0.44,1,"conj","M2",1.06394010191803,"2","M"
"314",0.44,1,"conj","F2",12616841.6799921,"2","F"
"315",0.44,1,"conj","C",993925251.148473,"C","C"
"316",0.45,1,"conj","A1",124056.351722202,"1","A"
"317",0.45,1,"conj","M1",13524885.4371028,"1","M"
"318",0.45,1,"conj","F1",0,"1","F"
"319",0.45,1,"conj","A2",1.42444094286572,"2","A"
"320",0.45,1,"conj","M2",1.09845616211425,"2","M"
"321",0.45,1,"conj","F2",12683669.3583148,"2","F"
"322",0.45,1,"conj","C",993767386.329963,"C","C"
"323",0.46,1,"conj","A1",124652.030877278,"1","A"
"324",0.46,1,"conj","M1",13615938.4176968,"1","M"
"325",0.46,1,"conj","F1",0,"1","F"
"326",0.46,1,"conj","A2",1.46711078660165,"2","A"
"327",0.46,1,"conj","M2",1.13353454596109,"2","M"
"328",0.46,1,"conj","F2",12750850.8964218,"2","F"
"329",0.46,1,"conj","C",993608556.054359,"C","C"
"330",0.47,1,"conj","A1",125250.569341065,"1","A"
"331",0.47,1,"conj","M1",13707604.2442152,"1","M"
"332",0.47,1,"conj","F1",0,"1","F"
"333",0.47,1,"conj","A2",1.51034819637871,"2","A"
"334",0.47,1,"conj","M2",1.16918301789619,"2","M"
"335",0.47,1,"conj","F2",12818388.1667842,"2","F"
"336",0.47,1,"conj","C",993448754.340128,"C","C"
"337",0.48,1,"conj","A1",125851.980827738,"1","A"
"338",0.48,1,"conj","M1",13799887.0395817,"1","M"
"339",0.48,1,"conj","F1",0,"1","F"
"340",0.48,1,"conj","A2",1.55415956715705,"2","A"
"341",0.48,1,"conj","M2",1.20540944258369,"2","M"
"342",0.48,1,"conj","F2",12886283.0517663,"2","F"
"343",0.48,1,"conj","C",993287975.168255,"C","C"
"344",0.49,1,"conj","A1",126456.279117124,"1","A"
"345",0.49,1,"conj","M1",13892790.9544313,"1","M"
