"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"205",0.29,1,"conj","M1",11952179.529403,"1","M"
"206",0.29,1,"conj","F1",0,"1","F"
"207",0.29,1,"conj","A2",0,"2","A"
"208",0.29,1,"conj","M2",0,"2","M"
"209",0.29,1,"conj","F2",11897726.714907,"2","F"
"210",0.29,1,"conj","C",996135483.999982,"C","C"
"211",0.3,1,"conj","A1",115148.382307172,"1","A"
"212",0.3,1,"conj","M1",12025901.5278357,"1","M"
"213",0.3,1,"conj","F1",0,"1","F"
"214",0.3,1,"conj","A2",0,"2","A"
"215",0.3,1,"conj","M2",0,"2","M"
"216",0.3,1,"conj","F2",11969228.07172,"2","F"
"217",0.3,1,"conj","C",995989720.467246,"C","C"
"218",0.31,1,"conj","A1",115691.040178519,"1","A"
"219",0.31,1,"conj","M1",12100078.14155,"1","M"
"220",0.31,1,"conj","F1",0,"1","F"
"221",0.31,1,"conj","A2",0,"2","A"
"222",0.31,1,"conj","M2",0,"2","M"
"223",0.31,1,"conj","F2",12041159.0228341,"2","F"
"224",0.31,1,"conj","C",995843070.17935,"C","C"
"225",0.32,1,"conj","A1",116236.254626501,"1","A"
"226",0.32,1,"conj","M1",12174712.1726262,"1","M"
"227",0.32,1,"conj","F1",0,"1","F"
"228",0.32,1,"conj","A2",0,"2","A"
"229",0.32,1,"conj","M2",0,"2","M"
"230",0.32,1,"conj","F2",12113522.1480333,"2","F"
"231",0.32,1,"conj","C",995695527.742435,"C","C"
"232",0.33,1,"conj","A1",116784.037686815,"1","A"
"233",0.33,1,"conj","M1",12249806.440398,"1","M"
"234",0.33,1,"conj","F1",0,"1","F"
"235",0.33,1,"conj","A2",1.02154324430471,"2","A"
"236",0.33,1,"conj","M2",0,"2","M"
"237",0.33,1,"conj","F2",12186320.0425771,"2","F"
"238",0.33,1,"conj","C",995547087.729861,"C","C"
"239",0.34,1,"conj","A1",117334.401451723,"1","A"
"240",0.34,1,"conj","M1",12325363.7815591,"1","M"
"241",0.34,1,"conj","F1",0,"1","F"
"242",0.34,1,"conj","A2",1.06073738652075,"2","A"
"243",0.34,1,"conj","M2",0,"2","M"
"244",0.34,1,"conj","F2",12259555.3172938,"2","F"
"245",0.34,1,"conj","C",995397744.682,"C","C"
"246",0.35,1,"conj","A1",117887.35807031,"1","A"
"247",0.35,1,"conj","M1",12401387.0502695,"1","M"
"248",0.35,1,"conj","F1",0,"1","F"
"249",0.35,1,"conj","A2",1.10048578380641,"2","A"
"250",0.35,1,"conj","M2",0,"2","M"
"251",0.35,1,"conj","F2",12333230.5986725,"2","F"
"252",0.35,1,"conj","C",995247493.106041,"C","C"
"253",0.36,1,"conj","A1",118442.919748753,"1","A"
"254",0.36,1,"conj","M1",12477879.1182627,"1","M"
"255",0.36,1,"conj","F1",0,"1","F"
"256",0.36,1,"conj","A2",1.14079501904856,"2","A"
"257",0.36,1,"conj","M2",0,"2","M"
"258",0.36,1,"conj","F2",12407348.5289579,"2","F"
"259",0.36,1,"conj","C",995096327.475787,"C","C"
"260",0.37,1,"conj","A1",119001.098750587,"1","A"
"261",0.37,1,"conj","M1",12554842.874954,"1","M"
"262",0.37,1,"conj","F1",0,"1","F"
"263",0.37,1,"conj","A2",1.18167174880414,"2","A"
"264",0.37,1,"conj","M2",0,"2","M"
"265",0.37,1,"conj","F2",12481911.7662439,"2","F"
"266",0.37,1,"conj","C",994944242.231451,"C","C"
"267",0.38,1,"conj","A1",119561.907396975,"1","A"
"268",0.38,1,"conj","M1",12632281.2275492,"1","M"
"269",0.38,1,"conj","F1",0,"1","F"
"270",0.38,1,"conj","A2",1.22312270410502,"2","A"
"271",0.38,1,"conj","M2",0,"2","M"
"272",0.38,1,"conj","F2",12556922.9845691,"2","F"
"273",0.38,1,"conj","C",994791231.779455,"C","C"
"274",0.39,1,"conj","A1",120125.358066973,"1","A"
"275",0.39,1,"conj","M1",12710197.1011532,"1","M"
"276",0.39,1,"conj","F1",0,"1","F"
"277",0.39,1,"conj","A2",1.26515469127154,"2","A"
"278",0.39,1,"conj","M2",0,"2","M"
"279",0.39,1,"conj","F2",12632384.8740113,"2","F"
"280",0.39,1,"conj","C",994637290.492223,"C","C"
"281",0.4,1,"conj","A1",120691.463197808,"1","A"
"282",0.4,1,"conj","M1",12788593.438881,"1","M"
"283",0.4,1,"conj","F1",0,"1","F"
"284",0.4,1,"conj","A2",1.30777459273488,"2","A"
"285",0.4,1,"conj","M2",0,"2","M"
"286",0.4,1,"conj","F2",12708300.1407844,"2","F"
"287",0.4,1,"conj","C",994482412.707974,"C","C"
"288",0.41,1,"conj","A1",121260.235285143,"1","A"
"289",0.41,1,"conj","M1",12867473.2019674,"1","M"
"290",0.41,1,"conj","F1",0,"1","F"
"291",0.41,1,"conj","A2",1.35098936786828,"2","A"
"292",0.41,1,"conj","M2",0,"2","M"
"293",0.41,1,"conj","F2",12784671.5073345,"2","F"
"294",0.41,1,"conj","C",994326592.730519,"C","C"
"295",0.42,1,"conj","A1",121831.686883356,"1","A"
"296",0.42,1,"conj","M1",12946839.3698788,"1","M"
"297",0.42,1,"conj","F1",0,"1","F"
"298",0.42,1,"conj","A2",1.39480605382726,"2","A"
"299",0.42,1,"conj","M2",1.0069477448303,"2","M"
"300",0.42,1,"conj","F2",12861501.712437,"2","F"
"301",0.42,1,"conj","C",994169824.829047,"C","C"
"302",0.43,1,"conj","A1",122405.83060581,"1","A"
"303",0.43,1,"conj","M1",13026694.9404252,"1","M"
"304",0.43,1,"conj","F1",0,"1","F"
"305",0.43,1,"conj","A2",1.43923176639892,"2","A"
"306",0.43,1,"conj","M2",1.04052491078985,"2","M"
"307",0.43,1,"conj","F2",12938793.5112944,"2","F"
"308",0.43,1,"conj","C",994012103.237918,"C","C"
"309",0.44,1,"conj","A1",122982.679125132,"1","A"
"310",0.44,1,"conj","M1",13107042.9298727,"1","M"
"311",0.44,1,"conj","F1",0,"1","F"
"312",0.44,1,"conj","A2",1.4842737008604,"2","A"
"313",0.44,1,"conj","M2",1.07464339371922,"2","M"
"314",0.44,1,"conj","F2",13016549.6756348,"2","F"
"315",0.44,1,"conj","C",993853422.15645,"C","C"
"316",0.45,1,"conj","A1",123562.24517349,"1","A"
"317",0.45,1,"conj","M1",13187886.3730569,"1","M"
"318",0.45,1,"conj","F1",0,"1","F"
"319",0.45,1,"conj","A2",1.52993913284665,"2","A"
"320",0.45,1,"conj","M2",1.1093106127616,"2","M"
"321",0.45,1,"conj","F2",13094772.9938104,"2","F"
"322",0.45,1,"conj","C",993693775.748709,"C","C"
"323",0.46,1,"conj","A1",124144.541542867,"1","A"
"324",0.46,1,"conj","M1",13269228.3234971,"1","M"
"325",0.46,1,"conj","F1",0,"1","F"
"326",0.46,1,"conj","A2",1.5762354192275,"2","A"
"327",0.46,1,"conj","M2",1.14453408261452,"2","M"
"328",0.46,1,"conj","F2",13173466.2708971,"2","F"
"329",0.46,1,"conj","C",993533158.143293,"C","C"
"330",0.47,1,"conj","A1",124729.581085348,"1","A"
"331",0.47,1,"conj","M1",13351071.8535109,"1","M"
"332",0.47,1,"conj","F1",0,"1","F"
"333",0.47,1,"conj","A2",1.62316999899432,"2","A"
"334",0.47,1,"conj","M2",1.18032141472646,"2","M"
"335",0.47,1,"conj","F2",13252632.3287947,"2","F"
"336",0.47,1,"conj","C",993371563.433118,"C","C"
"337",0.48,1,"conj","A1",125317.376713395,"1","A"
"338",0.48,1,"conj","M1",13433420.0543297,"1","M"
"339",0.48,1,"conj","F1",0,"1","F"
"340",0.48,1,"conj","A2",1.67075039415614,"2","A"
"341",0.48,1,"conj","M2",1.21668031850821,"2","M"
"342",0.48,1,"conj","F2",13332274.0063275,"2","F"
"343",0.48,1,"conj","C",993208985.675199,"C","C"
"344",0.49,1,"conj","A1",125907.941400133,"1","A"
