SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
pHFC_S.pB10-high,221,-1,-0.30000000000000004,1.5600000000000002e-13,0.08999999999999997
pHFC_S.pB10-high,222,-0.7999999999999998,-0.30000000000000004,2.472433380239338e-13,0.08999999999999997
pHFC_S.pB10-high,223,-0.5999999999999996,-0.30000000000000004,3.9185428331549487e-13,0.08999999999999997
pHFC_S.pB10-high,224,-0.3999999999999999,-0.30000000000000004,6.210471860634558e-13,0.08999999999999997
pHFC_S.pB10-high,225,-0.19999999999999973,-0.30000000000000004,9.84293457389102e-13,0.08999999999999997
pHFC_S.pB10-high,226,0,-0.30000000000000004,1.56e-12,0.08999999999999997
pHFC_S.pB10-high,227,0.20000000000000018,-0.30000000000000004,2.472433380239338e-12,0.08999999999999997
pHFC_S.pB10-high,228,0.40000000000000036,-0.30000000000000004,3.918542833154948e-12,0.08999999999999997
pHFC_S.pB10-high,229,0.6000000000000005,-0.30000000000000004,6.210471860634565e-12,0.08999999999999997
pHFC_S.pB10-high,230,0.8000000000000007,-0.30000000000000004,9.842934573891032e-12,0.08999999999999997
pHFC_S.pB10-high,231,1,-0.30000000000000004,1.56e-11,0.08999999999999997
pHFC_S.pB10-high,232,1.2000000000000002,-0.30000000000000004,2.4724333802393383e-11,0.08999999999999997
pHFC_S.pB10-high,233,1.4000000000000004,-0.30000000000000004,3.918542833154948e-11,0.08999999999999997
pHFC_S.pB10-high,234,1.6000000000000005,-0.30000000000000004,6.210471860634565e-11,0.08999999999999997
pHFC_S.pB10-high,235,1.8000000000000007,-0.30000000000000004,9.842934573891031e-11,0.08999999999999997
pHFC_S.pB10-high,236,2,-0.30000000000000004,1.56e-10,0.08999999999999997
pHFC_S.pB10-high,237,2.2,-0.30000000000000004,2.472433380239338e-10,0.08999999999999997
pHFC_S.pB10-high,238,2.4000000000000004,-0.30000000000000004,3.918542833154948e-10,0.08999999999999997
pHFC_S.pB10-high,239,2.6000000000000005,-0.30000000000000004,6.210471860634565e-10,0.08999999999999997
pHFC_S.pB10-high,240,2.8000000000000007,-0.30000000000000004,9.84293457389103e-10,0.08999999999999997
pHFC_S.pB10-high,241,3,-0.30000000000000004,1.56e-9,0.08999999999999997
pHFC_S.pB10-high,242,3.2,-0.30000000000000004,2.4724333802393378e-9,0.08999999999999997
pHFC_S.pB10-high,243,3.4000000000000004,-0.30000000000000004,3.918542833154948e-9,0.08999999999999997
pHFC_S.pB10-high,244,3.6000000000000005,-0.30000000000000004,6.2104718606345645e-9,0.08999999999999997
pHFC_S.pB10-high,245,3.8000000000000007,-0.30000000000000004,9.842934573891031e-9,0.08999999999999997
pHFC_S.pB10-high,246,4,-0.30000000000000004,1.56e-8,0.08999999999999997
pHFC_S.pB10-high,247,-4,-0.28,1.5600000000000002e-16,0.10999999999999999
pHFC_S.pB10-high,248,-3.8,-0.28,2.472433380239338e-16,0.10999999999999999
pHFC_S.pB10-high,249,-3.6,-0.28,3.918542833154944e-16,0.10999999999999999
pHFC_S.pB10-high,250,-3.4,-0.28,6.210471860634559e-16,0.10999999999999999
pHFC_S.pB10-high,251,-3.2,-0.28,9.84293457389101e-16,0.10999999999999999
pHFC_S.pB10-high,252,-3,-0.28,1.5600000000000001e-15,0.10999999999999999
pHFC_S.pB10-high,253,-2.8,-0.28,2.472433380239338e-15,0.10999999999999999
pHFC_S.pB10-high,254,-2.5999999999999996,-0.28,3.918542833154948e-15,0.10999999999999999
pHFC_S.pB10-high,255,-2.4,-0.28,6.210471860634559e-15,0.10999999999999999
pHFC_S.pB10-high,256,-2.2,-0.28,9.842934573891011e-15,0.10999999999999999
pHFC_S.pB10-high,257,-2,-0.28,1.56e-14,0.10999999999999999
pHFC_S.pB10-high,258,-1.7999999999999998,-0.28,2.4724333802393382e-14,0.10999999999999999
pHFC_S.pB10-high,259,-1.5999999999999996,-0.28,3.918542833154948e-14,0.10999999999999999
pHFC_S.pB10-high,260,-1.4,-0.28,6.210471860634558e-14,0.10999999999999999
pHFC_S.pB10-high,261,-1.1999999999999997,-0.28,9.84293457389102e-14,0.10999999999999999
pHFC_S.pB10-high,262,-1,-0.28,1.5600000000000002e-13,0.10999999999999999
pHFC_S.pB10-high,263,-0.7999999999999998,-0.28,2.472433380239338e-13,0.10999999999999999
pHFC_S.pB10-high,264,-0.5999999999999996,-0.28,3.9185428331549487e-13,0.10999999999999999
pHFC_S.pB10-high,265,-0.3999999999999999,-0.28,6.210471860634558e-13,0.10999999999999999
pHFC_S.pB10-high,266,-0.19999999999999973,-0.28,9.84293457389102e-13,0.10999999999999999
pHFC_S.pB10-high,267,0,-0.28,1.56e-12,0.10999999999999999
pHFC_S.pB10-high,268,0.20000000000000018,-0.28,2.472433380239338e-12,0.10999999999999999
pHFC_S.pB10-high,269,0.40000000000000036,-0.28,3.918542833154948e-12,0.10999999999999999
