SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2
pHFC_S.pB10-low,86,-3.4,-0.36000000000000004,6.409525445911306e-18,-0.07000000000000006,29,0,0,8680.273886875053,1.1377508215208481e-6
pHFC_S.pB10-low,87,-3.2,-0.36000000000000004,1.0158413246131107e-17,-0.07000000000000006,29,0,0,8680.27388686605,1.803213532190468e-6
pHFC_S.pB10-low,88,-3,-0.36000000000000004,1.61e-17,-0.07000000000000006,29,0,0,8680.273886851786,2.857900852840285e-6
pHFC_S.pB10-low,89,-2.8,-0.36000000000000004,2.5516780398623933e-17,-0.07000000000000006,29,0,0,8680.273886829169,4.52946760920335e-6
pHFC_S.pB10-low,90,-2.5999999999999996,-0.36000000000000004,4.044137154730427e-17,-0.07000000000000006,29,0,0,8680.273886793364,7.178722386352732e-6
pHFC_S.pB10-low,91,-2.4,-0.36000000000000004,6.409525445911307e-17,-0.07000000000000006,29,0,0,8680.273886736579,1.1377508258415635e-5
pHFC_S.pB10-low,92,-2.2,-0.36000000000000004,1.0158413246131108e-16,-0.07000000000000006,29,0,0,8680.2738866466,1.8032135430436217e-5
pHFC_S.pB10-low,93,-2,-0.36000000000000004,1.61e-16,-0.07000000000000006,29,0,0,8680.273886503988,2.8579008801021715e-5
pHFC_S.pB10-low,94,-1.7999999999999998,-0.36000000000000004,2.5516780398623935e-16,-0.07000000000000006,29,0,0,8680.273886277966,4.529467677682093e-5
pHFC_S.pB10-low,95,-1.5999999999999996,-0.36000000000000004,4.044137154730427e-16,-0.07000000000000006,29,0,0,8680.273885919703,7.178722558363587e-5
pHFC_S.pB10-low,96,-1.4,-0.36000000000000004,6.409525445911308e-16,-0.07000000000000006,29,0,0,8680.273885351862,1.1377508690487353e-4
pHFC_S.pB10-low,97,-1.1999999999999995,-0.36000000000000004,1.0158413246131116e-15,-0.07000000000000006,29,0,0,8680.273884452014,1.8032136515751195e-4
pHFC_S.pB10-low,98,-1,-0.36000000000000004,1.61e-15,-0.07000000000000006,29,0,0,8680.273883025764,2.857901152720988e-4
pHFC_S.pB10-low,99,-0.7999999999999998,-0.36000000000000004,2.551678039862394e-15,-0.07000000000000006,29,0,0,8680.273880765393,4.529468362469623e-4
pHFC_S.pB10-low,100,-0.5999999999999996,-0.36000000000000004,4.044137154730427e-15,-0.07000000000000006,29,0,0,8680.273877182866,7.17872427847227e-4
pHFC_S.pB10-low,101,-0.3999999999999999,-0.36000000000000004,6.409525445911306e-15,-0.07000000000000006,29,0,0,8680.273871505009,0.0011377513011205436
pHFC_S.pB10-low,102,-0.19999999999999973,-0.36000000000000004,1.0158413246131116e-14,-0.07000000000000006,29,0,0,8680.273862506114,0.001803214736890622
pHFC_S.pB10-low,103,0,-0.36000000000000004,1.61e-14,-0.07000000000000006,29,0,0,8680.273848243947,0.0028579038789110648
pHFC_S.pB10-low,104,0.20000000000000015,-0.36000000000000004,2.5516780398623937e-14,-0.07000000000000006,29,0,0,8680.273825639868,0.004529475210352553
pHFC_S.pB10-low,105,0.4000000000000003,-0.36000000000000004,4.044137154730427e-14,-0.07000000000000006,29,0,0,8680.273789814777,0.007178741479588782
pHFC_S.pB10-low,106,0.6000000000000005,-0.36000000000000004,6.409525445911313e-14,-0.07000000000000006,29,0,0,8680.27373303573,0.011377556218505532
pHFC_S.pB10-low,107,0.8000000000000007,-0.36000000000000004,1.0158413246131129e-13,-0.07000000000000006,29,0,0,8680.273643046889,0.018032255900931587
pHFC_S.pB10-low,108,1,-0.36000000000000004,1.61e-13,-0.07000000000000006,29,0,0,8680.273500423831,0.028579311410006813
pHFC_S.pB10-low,109,1.2000000000000002,-0.36000000000000004,2.5516780398623937e-13,-0.07000000000000006,29,0,0,8680.273274380454,0.04529543689933961
pHFC_S.pB10-low,110,1.4000000000000004,-0.36000000000000004,4.0441371547304274e-13,-0.07000000000000006,29,0,0,8680.272916123407,0.07178913493747711
pHFC_S.pB10-low,111,1.6000000000000003,-0.36000000000000004,6.409525445911315e-13,-0.07000000000000006,29,0,0,8680.272348317754,0.11377988303424738
pHFC_S.pB10-low,112,1.8000000000000007,-0.36000000000000004,1.015841324613113e-12,-0.07000000000000006,29,0,0,8680.271448390611,0.1803334126863431
pHFC_S.pB10-low,113,2,-0.36000000000000004,1.6099999999999998e-12,-0.07000000000000006,29,0,0,8680.270022062068,0.28582037807874355
