SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
pHFC_S.pB10-low,158,2.8000000000000007,-0.34,1.0158413246131126e-11,-0.050000000000000044
pHFC_S.pB10-low,159,3,-0.34,1.6099999999999998e-11,-0.050000000000000044
pHFC_S.pB10-low,160,3.2,-0.34,2.5516780398623935e-11,-0.050000000000000044
pHFC_S.pB10-low,161,3.4000000000000004,-0.34,4.0441371547304267e-11,-0.050000000000000044
pHFC_S.pB10-low,162,3.6000000000000005,-0.34,6.409525445911314e-11,-0.050000000000000044
pHFC_S.pB10-low,163,3.8000000000000007,-0.34,1.0158413246131128e-10,-0.050000000000000044
pHFC_S.pB10-low,164,4,-0.34,1.6099999999999999e-10,-0.050000000000000044
pHFC_S.pB10-low,165,-4,-0.32,1.61e-18,-0.030000000000000027
pHFC_S.pB10-low,166,-3.8,-0.32,2.5516780398623938e-18,-0.030000000000000027
pHFC_S.pB10-low,167,-3.6,-0.32,4.044137154730423e-18,-0.030000000000000027
pHFC_S.pB10-low,168,-3.4,-0.32,6.409525445911307e-18,-0.030000000000000027
pHFC_S.pB10-low,169,-3.2,-0.32,1.0158413246131107e-17,-0.030000000000000027
pHFC_S.pB10-low,170,-3,-0.32,1.61e-17,-0.030000000000000027
pHFC_S.pB10-low,171,-2.8,-0.32,2.5516780398623936e-17,-0.030000000000000027
pHFC_S.pB10-low,172,-2.5999999999999996,-0.32,4.044137154730427e-17,-0.030000000000000027
pHFC_S.pB10-low,173,-2.4,-0.32,6.409525445911307e-17,-0.030000000000000027
pHFC_S.pB10-low,174,-2.2,-0.32,1.0158413246131107e-16,-0.030000000000000027
pHFC_S.pB10-low,175,-2,-0.32,1.61e-16,-0.030000000000000027
pHFC_S.pB10-low,176,-1.7999999999999998,-0.32,2.5516780398623935e-16,-0.030000000000000027
pHFC_S.pB10-low,177,-1.5999999999999996,-0.32,4.0441371547304273e-16,-0.030000000000000027
pHFC_S.pB10-low,178,-1.4,-0.32,6.409525445911307e-16,-0.030000000000000027
