SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Invasion
testmut,85,0.8000000000000003,0.08000000000000002,8.833402822722711e-14,0.47,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,86,1.2000000000000002,0.08000000000000002,2.21885046944556e-13,0.47,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,87,1.6,0.08000000000000002,5.573500387748963e-13,0.47,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,88,2,0.08000000000000002,1.4e-12,0.47,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,89,-2,0.12,1.4e-16,0.51,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,90,-1.6,0.12,3.5166410041134115e-16,0.51,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,91,-1.2,0.12,8.833402822722709e-16,0.51,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,92,-0.7999999999999998,0.12,2.2188504694455602e-15,0.51,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,93,-0.3999999999999999,0.12,5.573500387748963e-15,0.51,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,94,0,0.12,1.4e-14,0.51,308,0,10000000,0,0,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,95,0.4000000000000003,0.12,3.5166410041134154e-14,0.51,308,0,10000000,0,0,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,96,0.8000000000000003,0.12,8.833402822722711e-14,0.51,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,97,1.2000000000000002,0.12,2.21885046944556e-13,0.51,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,98,1.6,0.12,5.573500387748963e-13,0.51,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,99,2,0.12,1.4e-12,0.51,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,100,-2,0.15999999999999998,1.4e-16,0.55,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,101,-1.6,0.15999999999999998,3.5166410041134115e-16,0.55,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,102,-1.2,0.15999999999999998,8.833402822722709e-16,0.55,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,103,-0.7999999999999998,0.15999999999999998,2.2188504694455602e-15,0.55,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,104,-0.3999999999999999,0.15999999999999998,5.573500387748963e-15,0.55,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
