"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"202",0.28,1,"conj","F2",11017068.653824,"2","F"
"203",0.28,1,"conj","C",997835099.484376,"C","C"
"204",0.29,1,"conj","A1",108670.169018369,"1","A"
"205",0.29,1,"conj","M1",11182482.2504642,"1","M"
"206",0.29,1,"conj","F1",0,"1","F"
"207",0.29,1,"conj","A2",3.10367121343868,"2","A"
"208",0.29,1,"conj","M2",0,"2","M"
"209",0.29,1,"conj","F2",11055245.6651196,"2","F"
"210",0.29,1,"conj","C",997753598.34153,"C","C"
"211",0.3,1,"conj","A1",108982.18532058,"1","A"
"212",0.3,1,"conj","M1",11225661.169891,"1","M"
"213",0.3,1,"conj","F1",0,"1","F"
"214",0.3,1,"conj","A2",3.2255806849226,"2","A"
"215",0.3,1,"conj","M2",0,"2","M"
"216",0.3,1,"conj","F2",11093554.9382602,"2","F"
"217",0.3,1,"conj","C",997671797.9918,"C","C"
"218",0.31,1,"conj","A1",109295.097236626,"1","A"
"219",0.31,1,"conj","M1",11269006.7808159,"1","M"
"220",0.31,1,"conj","F1",0,"1","F"
"221",0.31,1,"conj","A2",3.34855722044379,"2","A"
"222",0.31,1,"conj","M2",0,"2","M"
"223",0.31,1,"conj","F2",11131996.931229,"2","F"
"224",0.31,1,"conj","C",997589697.333863,"C","C"
"225",0.32,1,"conj","A1",109608.907335575,"1","A"
"226",0.32,1,"conj","M1",11312519.7264767,"1","M"
"227",0.32,1,"conj","F1",0,"1","F"
"228",0.32,1,"conj","A2",3.47260843229909,"2","A"
"229",0.32,1,"conj","M2",0,"2","M"
"230",0.32,1,"conj","F2",11170572.1035934,"2","F"
"231",0.32,1,"conj","C",997507295.262337,"C","C"
"232",0.33,1,"conj","A1",109923.618193849,"1","A"
"233",0.33,1,"conj","M1",11356200.6525914,"1","M"
"234",0.33,1,"conj","F1",0,"1","F"
"235",0.33,1,"conj","A2",3.59774198348214,"2","A"
"236",0.33,1,"conj","M2",0,"2","M"
"237",0.33,1,"conj","F2",11209280.9165103,"2","F"
"238",0.33,1,"conj","C",997424590.66776,"C","C"
"239",0.34,1,"conj","A1",110239.232395252,"1","A"
"240",0.34,1,"conj","M1",11400050.2073673,"1","M"
"241",0.34,1,"conj","F1",0,"1","F"
"242",0.34,1,"conj","A2",3.72396558801169,"2","A"
"243",0.34,1,"conj","M2",0,"2","M"
"244",0.34,1,"conj","F2",11248123.8327319,"2","F"
"245",0.34,1,"conj","C",997341582.436581,"C","C"
"246",0.35,1,"conj","A1",110555.752530985,"1","A"
"247",0.35,1,"conj","M1",11444069.041511,"1","M"
"248",0.35,1,"conj","F1",0,"1","F"
"249",0.35,1,"conj","A2",3.851287011262,"2","A"
"250",0.35,1,"conj","M2",0,"2","M"
"251",0.35,1,"conj","F2",11287101.3166108,"2","F"
"252",0.35,1,"conj","C",997258269.451138,"C","C"
"253",0.36,1,"conj","A1",110873.181199672,"1","A"
"254",0.36,1,"conj","M1",11488257.8082378,"1","M"
