"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"231",0.32,1,"conj","C",997516903.922598,"C","C"
"232",0.33,1,"conj","A1",1.09923618682172,"1","A"
"233",0.33,1,"conj","M1",11356200.7203691,"1","M"
"234",0.33,1,"conj","F1",0,"1","F"
"235",0.33,1,"conj","A2",0,"2","A"
"236",0.33,1,"conj","M2",0,"2","M"
"237",0.33,1,"conj","F2",11209284.6079121,"2","F"
"238",0.33,1,"conj","C",997434514.025244,"C","C"
"239",0.34,1,"conj","A1",1.10239232916145,"1","A"
"240",0.34,1,"conj","M1",11400050.2797371,"1","M"
"241",0.34,1,"conj","F1",0,"1","F"
"242",0.34,1,"conj","A2",0,"2","A"
"243",0.34,1,"conj","M2",0,"2","M"
"244",0.34,1,"conj","F2",11248127.6566538,"2","F"
"245",0.34,1,"conj","C",997351821.39422,"C","C"
"246",0.35,1,"conj","A1",1.10555753085632,"1","A"
"247",0.35,1,"conj","M1",11444069.1186464,"1","M"
"248",0.35,1,"conj","F1",0,"1","F"
"249",0.35,1,"conj","A2",0,"2","A"
"250",0.35,1,"conj","M2",0,"2","M"
"251",0.35,1,"conj","F2",11287105.2743839,"2","F"
"252",0.35,1,"conj","C",997268824.914451,"C","C"
"253",0.36,1,"conj","A1",1.10873181789267,"1","A"
"254",0.36,1,"conj","M1",11488257.8903145,"1","M"
"255",0.36,1,"conj","F1",0,"1","F"
"256",0.36,1,"conj","A2",0,"2","A"
"257",0.36,1,"conj","M2",0,"2","M"
"258",0.36,1,"conj","F2",11326217.9270718,"2","F"
"259",0.36,1,"conj","C",997185523.466749,"C","C"
"260",0.37,1,"conj","A1",1.1119152163313,"1","A"
"261",0.37,1,"conj","M1",11532617.2504775,"1","M"
"262",0.37,1,"conj","F1",0,"1","F"
"263",0.37,1,"conj","A2",0,"2","A"
"264",0.37,1,"conj","M2",0,"2","M"
"265",0.37,1,"conj","F2",11365466.0822986,"2","F"
"266",0.37,1,"conj","C",997101915.927794,"C","C"
"267",0.38,1,"conj","A1",1.1151077523076,"1","A"
"268",0.38,1,"conj","M1",11577147.8573998,"1","M"
"269",0.38,1,"conj","F1",0,"1","F"
"270",0.38,1,"conj","A2",0,"2","A"
"271",0.38,1,"conj","M2",0,"2","M"
"272",0.38,1,"conj","F2",11404850.209263,"2","F"
"273",0.38,1,"conj","C",997018001.170123,"C","C"
"274",0.39,1,"conj","A1",1.11830945203184,"1","A"
"275",0.39,1,"conj","M1",11621850.3718834,"1","M"
"276",0.39,1,"conj","F1",0,"1","F"
"277",0.39,1,"conj","A2",0,"2","A"
"278",0.39,1,"conj","M2",0,"2","M"
"279",0.39,1,"conj","F2",11444370.7787863,"2","F"
"280",0.39,1,"conj","C",996933778.062109,"C","C"
"281",0.4,1,"conj","A1",1.12152034178935,"1","A"
"282",0.4,1,"conj","M1",11666725.4572781,"1","M"
"283",0.4,1,"conj","F1",0,"1","F"
"284",0.4,1,"conj","A2",0,"2","A"
"285",0.4,1,"conj","M2",0,"2","M"
"286",0.4,1,"conj","F2",11484028.2633184,"2","F"
"287",0.4,1,"conj","C",996849245.467952,"C","C"
"288",0.41,1,"conj","A1",1.1247404479407,"1","A"
"289",0.41,1,"conj","M1",11711773.7794911,"1","M"
"290",0.41,1,"conj","F1",0,"1","F"
"291",0.41,1,"conj","A2",0,"2","A"
"292",0.41,1,"conj","M2",0,"2","M"
"293",0.41,1,"conj","F2",11523823.1369434,"2","F"
"294",0.41,1,"conj","C",996764402.247657,"C","C"
"295",0.42,1,"conj","A1",1.127969796922,"1","A"
"296",0.42,1,"conj","M1",11756996.0069969,"1","M"
"297",0.42,1,"conj","F1",0,"1","F"
"298",0.42,1,"conj","A2",0,"2","A"
"299",0.42,1,"conj","M2",0,"2","M"
"300",0.42,1,"conj","F2",11563755.875385,"2","F"
"301",0.42,1,"conj","C",996679247.257026,"C","C"
"302",0.43,1,"conj","A1",1.13120841524501,"1","A"
"303",0.43,1,"conj","M1",11802392.8108473,"1","M"
"304",0.43,1,"conj","F1",0,"1","F"
"305",0.43,1,"conj","A2",0,"2","A"
"306",0.43,1,"conj","M2",0,"2","M"
"307",0.43,1,"conj","F2",11603826.9560126,"2","F"
"308",0.43,1,"conj","C",996593779.347635,"C","C"
