...1,Time,Cycle,Phase,Cell_types,Density,Host,Genotype,Genotype_plot
167,0.23,1,conj,F2,10828154.0429464,nalR,Plasmid-free,Plasmid-free
169,0.24,1,conj,A1,1.07123432556304,rifR,Ancestor,Ancestor
170,0.24,1,conj,M1,10969065.7187804,rifR,Mutant,Mutant
171,0.24,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
172,0.24,1,conj,A2,0,nalR,Ancestor,Ancestor
173,0.24,1,conj,M2,0,nalR,Mutant,Mutant
174,0.24,1,conj,F2,10865676.6794752,nalR,Plasmid-free,Plasmid-free
176,0.25,1,conj,A1,1.07431009091752,rifR,Ancestor,Ancestor
177,0.25,1,conj,M1,11011420.7462745,rifR,Mutant,Mutant
178,0.25,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
179,0.25,1,conj,A2,0,nalR,Ancestor,Ancestor
180,0.25,1,conj,M2,0,nalR,Mutant,Mutant
181,0.25,1,conj,F2,10903329.3127348,nalR,Plasmid-free,Plasmid-free
183,0.26,1,conj,A1,1.07739468506412,rifR,Ancestor,Ancestor
184,0.26,1,conj,M1,11053939.2861009,rifR,Mutant,Mutant
185,0.26,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
186,0.26,1,conj,A2,0,nalR,Ancestor,Ancestor
187,0.26,1,conj,M2,0,nalR,Mutant,Mutant
188,0.26,1,conj,F2,10941112.3928786,nalR,Plasmid-free,Plasmid-free
190,0.27,1,conj,A1,1.08048813332888,rifR,Ancestor,Ancestor
191,0.27,1,conj,M1,11096621.9692412,rifR,Mutant,Mutant
192,0.27,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
193,0.27,1,conj,A2,0,nalR,Ancestor,Ancestor
194,0.27,1,conj,M2,0,nalR,Mutant,Mutant
195,0.27,1,conj,F2,10979026.3716175,nalR,Plasmid-free,Plasmid-free
197,0.28,1,conj,A1,1.08359046111036,rifR,Ancestor,Ancestor
198,0.28,1,conj,M1,11139469.4291099,rifR,Mutant,Mutant
199,0.28,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
200,0.28,1,conj,A2,0,nalR,Ancestor,Ancestor
201,0.28,1,conj,M2,0,nalR,Mutant,Mutant
202,0.28,1,conj,F2,11017071.7022248,nalR,Plasmid-free,Plasmid-free
204,0.29,1,conj,A1,1.08670169387984,rifR,Ancestor,Ancestor
205,0.29,1,conj,M1,11182482.3015637,rifR,Mutant,Mutant
206,0.29,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
207,0.29,1,conj,A2,0,nalR,Ancestor,Ancestor
208,0.29,1,conj,M2,0,nalR,Mutant,Mutant
209,0.29,1,conj,F2,11055248.8395417,nalR,Plasmid-free,Plasmid-free
211,0.3,1,conj,A1,1.0898218571816,rifR,Ancestor,Ancestor
212,0.3,1,conj,M1,11225661.2249108,rifR,Mutant,Mutant
213,0.3,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
214,0.3,1,conj,A2,0,nalR,Ancestor,Ancestor
215,0.3,1,conj,M2,0,nalR,Mutant,Mutant
216,0.3,1,conj,F2,11093558.2399828,nalR,Plasmid-free,Plasmid-free
218,0.31,1,conj,A1,1.09295097663305,rifR,Ancestor,Ancestor
219,0.31,1,conj,M1,11269006.8399208,rifR,Mutant,Mutant
220,0.31,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
221,0.31,1,conj,A2,0,nalR,Ancestor,Ancestor
222,0.31,1,conj,M2,0,nalR,Mutant,Mutant
223,0.31,1,conj,F2,11132000.3615415,nalR,Plasmid-free,Plasmid-free
225,0.32,1,conj,A1,1.09608907792497,rifR,Ancestor,Ancestor
226,0.32,1,conj,M1,11312519.7898336,rifR,Mutant,Mutant
227,0.32,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
228,0.32,1,conj,A2,0,nalR,Ancestor,Ancestor
229,0.32,1,conj,M2,0,nalR,Mutant,Mutant
230,0.32,1,conj,F2,11170575.6637955,nalR,Plasmid-free,Plasmid-free
232,0.33,1,conj,A1,1.09923618682172,rifR,Ancestor,Ancestor
233,0.33,1,conj,M1,11356200.7203691,rifR,Mutant,Mutant
234,0.33,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
235,0.33,1,conj,A2,0,nalR,Ancestor,Ancestor
236,0.33,1,conj,M2,0,nalR,Mutant,Mutant
237,0.33,1,conj,F2,11209284.6079121,nalR,Plasmid-free,Plasmid-free
239,0.34,1,conj,A1,1.10239232916145,rifR,Ancestor,Ancestor
240,0.34,1,conj,M1,11400050.2797371,rifR,Mutant,Mutant
241,0.34,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
242,0.34,1,conj,A2,0,nalR,Ancestor,Ancestor
243,0.34,1,conj,M2,0,nalR,Mutant,Mutant
244,0.34,1,conj,F2,11248127.6566538,nalR,Plasmid-free,Plasmid-free
246,0.35,1,conj,A1,1.10555753085632,rifR,Ancestor,Ancestor
247,0.35,1,conj,M1,11444069.1186464,rifR,Mutant,Mutant
248,0.35,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
249,0.35,1,conj,A2,0,nalR,Ancestor,Ancestor
250,0.35,1,conj,M2,0,nalR,Mutant,Mutant
251,0.35,1,conj,F2,11287105.2743839,nalR,Plasmid-free,Plasmid-free
253,0.36,1,conj,A1,1.10873181789267,rifR,Ancestor,Ancestor
254,0.36,1,conj,M1,11488257.8903145,rifR,Mutant,Mutant
255,0.36,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
256,0.36,1,conj,A2,0,nalR,Ancestor,Ancestor
257,0.36,1,conj,M2,0,nalR,Mutant,Mutant
258,0.36,1,conj,F2,11326217.9270718,nalR,Plasmid-free,Plasmid-free
260,0.37,1,conj,A1,1.1119152163313,rifR,Ancestor,Ancestor
261,0.37,1,conj,M1,11532617.2504775,rifR,Mutant,Mutant
262,0.37,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
263,0.37,1,conj,A2,0,nalR,Ancestor,Ancestor
264,0.37,1,conj,M2,0,nalR,Mutant,Mutant
265,0.37,1,conj,F2,11365466.0822986,nalR,Plasmid-free,Plasmid-free
267,0.38,1,conj,A1,1.1151077523076,rifR,Ancestor,Ancestor
268,0.38,1,conj,M1,11577147.8573998,rifR,Mutant,Mutant
269,0.38,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
270,0.38,1,conj,A2,0,nalR,Ancestor,Ancestor
271,0.38,1,conj,M2,0,nalR,Mutant,Mutant
272,0.38,1,conj,F2,11404850.209263,nalR,Plasmid-free,Plasmid-free
274,0.39,1,conj,A1,1.11830945203184,rifR,Ancestor,Ancestor
275,0.39,1,conj,M1,11621850.3718834,rifR,Mutant,Mutant
276,0.39,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
277,0.39,1,conj,A2,0,nalR,Ancestor,Ancestor
278,0.39,1,conj,M2,0,nalR,Mutant,Mutant
279,0.39,1,conj,F2,11444370.7787863,nalR,Plasmid-free,Plasmid-free
281,0.4,1,conj,A1,1.12152034178935,rifR,Ancestor,Ancestor
282,0.4,1,conj,M1,11666725.4572781,rifR,Mutant,Mutant
283,0.4,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
284,0.4,1,conj,A2,0,nalR,Ancestor,Ancestor
285,0.4,1,conj,M2,0,nalR,Mutant,Mutant
286,0.4,1,conj,F2,11484028.2633184,nalR,Plasmid-free,Plasmid-free
288,0.41,1,conj,A1,1.1247404479407,rifR,Ancestor,Ancestor
289,0.41,1,conj,M1,11711773.7794911,rifR,Mutant,Mutant
290,0.41,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
291,0.41,1,conj,A2,0,nalR,Ancestor,Ancestor
292,0.41,1,conj,M2,0,nalR,Mutant,Mutant
293,0.41,1,conj,F2,11523823.1369434,nalR,Plasmid-free,Plasmid-free
295,0.42,1,conj,A1,1.127969796922,rifR,Ancestor,Ancestor
296,0.42,1,conj,M1,11756996.0069969,rifR,Mutant,Mutant
297,0.42,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
298,0.42,1,conj,A2,0,nalR,Ancestor,Ancestor
299,0.42,1,conj,M2,0,nalR,Mutant,Mutant
300,0.42,1,conj,F2,11563755.875385,nalR,Plasmid-free,Plasmid-free
302,0.43,1,conj,A1,1.13120841524501,rifR,Ancestor,Ancestor
303,0.43,1,conj,M1,11802392.8108473,rifR,Mutant,Mutant
304,0.43,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
305,0.43,1,conj,A2,0,nalR,Ancestor,Ancestor
306,0.43,1,conj,M2,0,nalR,Mutant,Mutant
307,0.43,1,conj,F2,11603826.9560126,nalR,Plasmid-free,Plasmid-free
309,0.44,1,conj,A1,1.13445632949745,rifR,Ancestor,Ancestor
310,0.44,1,conj,M1,11847964.8646811,rifR,Mutant,Mutant
311,0.44,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
312,0.44,1,conj,A2,0,nalR,Ancestor,Ancestor
313,0.44,1,conj,M2,0,nalR,Mutant,Mutant
314,0.44,1,conj,F2,11644036.8578465,nalR,Plasmid-free,Plasmid-free
316,0.45,1,conj,A1,1.13771356634315,rifR,Ancestor,Ancestor
317,0.45,1,conj,M1,11893712.8447341,rifR,Mutant,Mutant
318,0.45,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
319,0.45,1,conj,A2,0,nalR,Ancestor,Ancestor
320,0.45,1,conj,M2,0,nalR,Mutant,Mutant
321,0.45,1,conj,F2,11684386.0615637,nalR,Plasmid-free,Plasmid-free
323,0.46,1,conj,A1,1.14098015252233,rifR,Ancestor,Ancestor
324,0.46,1,conj,M1,11939637.4298491,rifR,Mutant,Mutant
325,0.46,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
326,0.46,1,conj,A2,0,nalR,Ancestor,Ancestor
327,0.46,1,conj,M2,0,nalR,Mutant,Mutant
328,0.46,1,conj,F2,11724875.0495038,nalR,Plasmid-free,Plasmid-free
330,0.47,1,conj,A1,1.14425611485173,rifR,Ancestor,Ancestor
331,0.47,1,conj,M1,11985739.3014862,rifR,Mutant,Mutant
332,0.47,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
333,0.47,1,conj,A2,0,nalR,Ancestor,Ancestor
334,0.47,1,conj,M2,0,nalR,Mutant,Mutant
335,0.47,1,conj,F2,11765504.3056748,nalR,Plasmid-free,Plasmid-free
337,0.48,1,conj,A1,1.14754148022493,rifR,Ancestor,Ancestor
338,0.48,1,conj,M1,12032019.1437325,rifR,Mutant,Mutant
