SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv,log_Mut_freq0,log_Mut_freq_change
pLFC_S.pB10_max,146,3.308434743061633e-15,0.3271052631578948,187.1,0,0,54119384.086105794,5.726440675501111e-6,-14.4803774271403,54119384.086105794,5.726440675501111e-6,0.9999999999998941,1.0581126840596599e-13,0.009900990099009901,-0.00990099009890409,Decrease,-2.0043213737826426,-10.971146705721045
pLFC_S.pB10_max,147,1.4164508854518591e-14,0.3271052631578948,187.1,0,0,54119384.08610637,2.451682857744125e-5,-13.848798479771881,54119384.08610637,2.451682857744125e-5,0.9999999999995469,4.530138136535843e-13,0.009900990099009901,-0.009900990098556887,Decrease,-2.0043213737826426,-10.33956718115362
pLFC_S.pB10_max,148,6.06429706707982e-14,0.3271052631578948,187.1,0,0,54119384.0861051,1.0496528976502718e-4,-13.21721953240346,54119384.0861051,1.0496528976502718e-4,0.9999999999980606,1.9395137534791893e-12,0.009900990099009901,-0.009900990097070387,Decrease,-2.0043213737826426,-9.707985762601497
pLFC_S.pB10_max,149,2.596327150874785e-13,0.3271052631578948,187.1,0,0,54119384.08610412,4.494022437391885e-4,-12.585640585035039,54119384.08610412,4.494022437391885e-4,0.9999999999916961,8.30390536264153e-12,0.009900990099009901,-0.009900990090705995,Decrease,-2.0043213737826426,-9.076396235221257
pLFC_S.pB10_max,150,1.1115739548715034e-12,0.3271052631578948,187.1,0,0,54119384.08609891,0.00192424107678521,-11.954061637666618,54119384.08609891,0.00192424107678521,0.9999999999644446,3.555548735838353e-11,0.009900990099009901,-0.009900990063454414,Decrease,-2.0043213737826426,-8.444771990334136
pLFC_S.pB10_max,151,4.7590175865640196e-12,0.3271052631578948,187.1,0,0,54119384.08607404,0.00824199563634059,-11.322482690298196,54119384.08607404,0.00824199563634059,0.9999999998477072,1.522928572501293e-10,0.009900990099009901,-0.009900989946717044,Decrease,-2.0043213737826426,-7.812999091427596
pLFC_S.pB10_max,152,2.037493617943184e-11,0.3271052631578948,187.1,0,0,54119384.08596357,0.035354282282931,-10.690903742929777,54119384.08596357,0.035354282282931,0.9999999993467353,6.532646824597696e-10,0.009900990099009901,-0.00990098944574522,Decrease,-2.0043213737826426,-7.180589446716423
pLFC_S.pB10_max,153,8.723187438684151e-11,0.3271052631578948,187.1,0,0,54119384.085496336,0.15261015963383645,-10.059324795561356,54119384.085496336,0.15261015963383645,0.9999999971801201,2.819879822771167e-9,0.009900990099009901,-0.009900987279130078,Decrease,-2.0043213737826426,-6.545448026202775
pLFC_S.pB10_max,154,3.7346865001340517e-10,0.3271052631578948,187.1,0,0,54119384.08343531,0.6768994534693771,-9.427745848192934,54119384.08343531,0.6768994534693771,0.9999999874924769,1.2507523070836734e-8,0.009900990099009901,-0.00990097759148683,Decrease,-2.0043213737826426,-5.898507313580332
pLFC_S.pB10_max,155,1.5989434312083862e-9,0.3271052631578948,187.1,0,0,54119384.07345023,3.387491616368972,-8.796166900824513,54119384.07345023,3.387491616368972,0.9999999374070593,6.25929408165186e-8,0.009900990099009901,-0.009900927506069085,Decrease,-2.0043213737826426,-5.199153269641169
pLFC_S.pB10_max,156,6.845608315752023e-9,0.3271052631578948,187.1,0,0,54119383.99623863,30.714413611651096,-8.164587953456092,54119383.99623863,30.714413611651096,0.9999994324695901,5.675304098513398e-7,0.009900990099009901,-0.00990042256860005,Decrease,-2.0043213737826426,-4.241689489027445
pLFC_S.pB10_max,157,2.9308324671172057e-8,0.3271052631578948,187.1,0,0,54119370.99378512,9238.007871020707,-7.533009006087671,54119370.99378512,9238.007871020707,0.9998293322507005,1.7066774929941497e-4,0.009900990099009901,-0.009730322349710486,Decrease,-2.0043213737826426,-1.7635271650006192
pLFC_S.pB10_max,158,1.254786799668759e-7,0.3271052631578948,187.1,0,0,1131992.7429149903,1122430335.6624837,-6.901430058719249,1131992.7429149903,1122430335.6624837,0.0010075032904685907,0.9989924967095315,0.009900990099009901,0.9890915066105216,Increase,-2.0043213737826426,2.003883600096829
pLFC_S.pB10_max,159,5.372159378907281e-7,0.3271052631578948,187.1,0,0,481800.9594360745,1077487522.9594622,-6.269851111350828,481800.9594360745,1077487522.9594622,4.469523842148991e-4,0.999553047615785,0.009900990099009901,0.9896520575167751,Increase,-2.0043213737826426,2.004127221436845
pLFC_S.pB10_max,160,2.300000000000001e-6,0.3271052631578948,187.1,0,0,164704.5443997984,1058535960.8803602,-5.638272163982407,164704.5443997984,1058535960.8803602,1.5557234426948952e-4,0.99984442765573045,0.009900990099009901,0.9899434375567205,Increase,-2.0043213737826426,2.004253804315883
pLFC_S.pB10_max,161,2.300000000000001e-18,0.39026315789473687,187.1,0,0,54119341.451051354,7.133223888888135e-6,-17.638272163982407,54119341.451051354,7.133223888888135e-6,0.9999999999998682,1.3180544510762188e-13,0.009900990099009901,-0.009900990098878095,Decrease,-2.0043213737826426,-10.875745274143384
pLFC_S.pB10_max,162,9.847064517054615e-18,0.39026315789473687,187.1,0,0,54119341.45105055,3.053970257103261e-5,-17.006693216613986,54119341.45105055,3.053970257103261e-5,0.9999999999994357,5.643029229880354e-13,0.009900990099009901,-0.009900990098445599,Decrease,-2.0043213737826426,-10.244166326373886
pLFC_S.pB10_max,163,4.215855634914608e-17,0.39026315789473687,187.1,0,0,54119341.4510498,1.3075061858182753e-4,-16.375114269245564,54119341.4510498,1.3075061858182753e-4,0.999999999997584,2.4159683964331642e-12,0.009900990099009901,-0.009900990096593933,Decrease,-2.0043213737826426,-9.61258737728832
pLFC_S.pB10_max,164,1.8049479318083641e-16,0.39026315789473687,187.1,0,0,54119341.451050535,5.597868689673921e-4,-15.743535321877143,54119341.451050535,5.597868689673921e-4,0.9999999999896565,1.0343563945025345e-11,0.009900990099009901,-0.009900990088666337,Decrease,-2.0043213737826426,-8.981008422568243
pLFC_S.pB10_max,165,7.727582058452715e-16,0.39026315789473687,187.1,0,0,54119341.451046765,0.00239663383226172,-15.111956374508722,54119341.451046765,0.00239663383226172,0.9999999999557158,4.4284238645502435e-11,0.009900990099009901,-0.009900990054725662,Decrease,-2.0043213737826426,-8.349429443724922
pLFC_S.pB10_max,166,3.308434743061633e-15,0.39026315789473687,187.1,0,0,54119341.45103284,0.0102607892591729,-14.4803774271403,54119341.45103284,0.0102607892591729,0.9999999998104043,1.895956044940321e-10,0.009900990099009901,-0.009900989909414296,Decrease,-2.0043213737826426,-7.717850361601991
pLFC_S.pB10_max,167,1.4164508854518591e-14,0.39026315789473687,187.1,0,0,54119341.45097045,0.04392990787669502,-13.848798479771881,54119341.45097045,0.04392990787669502,0.9999999991882772,8.117228824898862e-10,0.009900990099009901,-0.009900989287287018,Decrease,-2.0043213737826426,-7.086270837304562
pLFC_S.pB10_max,168,6.06429706707982e-14,0.39026315789473687,187.1,0,0,54119341.45070827,0.18807960805544105,-13.21721953240346,54119341.45070827,0.18807960805544105,0.9999999965247247,3.475275240980435e-9,0.009900990099009901,-0.00990098662373466,Decrease,-2.0043213737826426,-6.454689419908412
pLFC_S.pB10_max,169,2.596327150874785e-13,0.39026315789473687,187.1,0,0,54119341.44957951,0.8052509362788708,-12.585640585035039,54119341.44957951,0.8052509362788708,0.9999999851208292,1.4879170786799387e-8,0.009900990099009901,-0.009900975219839115,Decrease,-2.0043213737826426,-5.823099897477386
pLFC_S.pB10_max,170,1.1115739548715034e-12,0.39026315789473687,187.1,0,0,54119341.44474927,3.447906525092464,-11.954061637666618,54119341.44474927,3.447906525092464,0.9999999362906825,6.370931747106862e-8,0.009900990099009901,-0.00990092638969243,Decrease,-2.0043213737826426,-5.191475673782254
pLFC_S.pB10_max,171,4.7590175865640196e-12,0.39026315789473687,187.1,0,0,54119341.424063325,14.76822777930833,-11.322482690298196,54119341.424063325,14.76822777930833,0.9999997271174527,2.728825473613441e-7,0.009900990099009901,-0.00990071721646254,Decrease,-2.0043213737826426,-4.559702865655705
pLFC_S.pB10_max,172,2.037493617943184e-11,0.39026315789473687,187.1,0,0,54119341.33534365,63.34874658662446,-10.690903742929777,54119341.33534365,63.34874658662446,0.9999988294633513,1.1705366486643451e-6,0.009900990099009901,-0.009899819562361236,Decrease,-2.0043213737826426,-3.92729361052258
pLFC_S.pB10_max,173,8.723187438684151e-11,0.39026315789473687,187.1,0,0,54119340.95265061,273.450955332865,-10.059324795561356,54119340.95265061,273.450955332865,0.9999949472855942,5.052714405789359e-6,0.009900990099009901,-0.009895937384604111,Decrease,-2.0043213737826426,-3.292153874880968
pLFC_S.pB10_max,174,3.7346865001340517e-10,0.39026315789473687,187.1,0,0,54119339.26044554,1212.8864625036922,-9.427745848192934,54119339.26044554,1212.8864625036922,0.9999775891705759,2.241082942412267e-5,0.009900990099009901,-0.00987857926958578,Decrease,-2.0043213737826426,-2.645220696159146
