SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
DimF,41,0.8000000000000003,-0.08000000000000002,1.2619146889603872e-10,0.9199999999999999
DimF,42,1.2000000000000002,-0.08000000000000002,3.169786384922228e-10,0.9199999999999999
DimF,43,1.6,-0.08000000000000002,7.962143411069946e-10,0.9199999999999999
DimF,44,2,-0.08000000000000002,1.9999999999999997e-9,0.9199999999999999
DimF,45,-2,-0.04000000000000001,1.9999999999999998e-13,0.96
DimF,46,-1.6,-0.04000000000000001,5.023772863019159e-13,0.96
DimF,47,-1.2,-0.04000000000000001,1.2619146889603865e-12,0.96
DimF,48,-0.7999999999999998,-0.04000000000000001,3.1697863849222284e-12,0.96
DimF,49,-0.3999999999999999,-0.04000000000000001,7.962143411069945e-12,0.96
DimF,50,0,-0.04000000000000001,2e-11,0.96
DimF,51,0.40000000000000036,-0.04000000000000001,5.0237728630191646e-11,0.96
DimF,52,0.8000000000000003,-0.04000000000000001,1.2619146889603872e-10,0.96
DimF,53,1.2000000000000002,-0.04000000000000001,3.169786384922228e-10,0.96
DimF,54,1.6,-0.04000000000000001,7.962143411069946e-10,0.96
DimF,55,2,-0.04000000000000001,1.9999999999999997e-9,0.96
DimF,56,-2,0,1.9999999999999998e-13,1
DimF,57,-1.6,0,5.023772863019159e-13,1
DimF,58,-1.2,0,1.2619146889603865e-12,1
DimF,59,-0.7999999999999998,0,3.1697863849222284e-12,1
DimF,60,-0.3999999999999999,0,7.962143411069945e-12,1
DimF,61,0,0,2e-11,1
DimF,62,0.40000000000000036,0,5.0237728630191646e-11,1
DimF,63,0.8000000000000003,0,1.2619146889603872e-10,1
DimF,64,1.2000000000000002,0,3.169786384922228e-10,1
DimF,65,1.6,0,7.962143411069946e-10,1
DimF,66,2,0,1.9999999999999997e-9,1
DimF,67,-2,0.03999999999999998,1.9999999999999998e-13,1.04
DimF,68,-1.6,0.03999999999999998,5.023772863019159e-13,1.04
DimF,69,-1.2,0.03999999999999998,1.2619146889603865e-12,1.04
DimF,70,-0.7999999999999998,0.03999999999999998,3.1697863849222284e-12,1.04
DimF,71,-0.3999999999999999,0.03999999999999998,7.962143411069945e-12,1.04
DimF,72,0,0.03999999999999998,2e-11,1.04
DimF,73,0.40000000000000036,0.03999999999999998,5.0237728630191646e-11,1.04
DimF,74,0.8000000000000003,0.03999999999999998,1.2619146889603872e-10,1.04
DimF,75,1.2000000000000002,0.03999999999999998,3.169786384922228e-10,1.04
DimF,76,1.6,0.03999999999999998,7.962143411069946e-10,1.04
DimF,77,2,0.03999999999999998,1.9999999999999997e-9,1.04
DimF,78,-2,0.08000000000000002,1.9999999999999998e-13,1.08
DimF,79,-1.6,0.08000000000000002,5.023772863019159e-13,1.08
DimF,80,-1.2,0.08000000000000002,1.2619146889603865e-12,1.08
DimF,81,-0.7999999999999998,0.08000000000000002,3.1697863849222284e-12,1.08
DimF,82,-0.3999999999999999,0.08000000000000002,7.962143411069945e-12,1.08
DimF,83,0,0.08000000000000002,2e-11,1.08
DimF,84,0.40000000000000036,0.08000000000000002,5.0237728630191646e-11,1.08
DimF,85,0.8000000000000003,0.08000000000000002,1.2619146889603872e-10,1.08
DimF,86,1.2000000000000002,0.08000000000000002,3.169786384922228e-10,1.08
DimF,87,1.6,0.08000000000000002,7.962143411069946e-10,1.08
DimF,88,2,0.08000000000000002,1.9999999999999997e-9,1.08
DimF,89,-2,0.12,1.9999999999999998e-13,1.12
DimF,90,-1.6,0.12,5.023772863019159e-13,1.12
DimF,91,-1.2,0.12,1.2619146889603865e-12,1.12
DimF,92,-0.7999999999999998,0.12,3.1697863849222284e-12,1.12
DimF,93,-0.3999999999999999,0.12,7.962143411069945e-12,1.12
DimF,94,0,0.12,2e-11,1.12
DimF,95,0.40000000000000036,0.12,5.0237728630191646e-11,1.12
DimF,96,0.8000000000000003,0.12,1.2619146889603872e-10,1.12
DimF,97,1.2000000000000002,0.12,3.169786384922228e-10,1.12
DimF,98,1.6,0.12,7.962143411069946e-10,1.12
DimF,99,2,0.12,1.9999999999999997e-9,1.12
DimF,100,-2,0.15999999999999998,1.9999999999999998e-13,1.16
DimF,101,-1.6,0.15999999999999998,5.023772863019159e-13,1.16
DimF,102,-1.2,0.15999999999999998,1.2619146889603865e-12,1.16
DimF,103,-0.7999999999999998,0.15999999999999998,3.1697863849222284e-12,1.16
DimF,104,-0.3999999999999999,0.15999999999999998,7.962143411069945e-12,1.16
DimF,105,0,0.15999999999999998,2e-11,1.16
DimF,106,0.40000000000000036,0.15999999999999998,5.0237728630191646e-11,1.16
DimF,107,0.8000000000000003,0.15999999999999998,1.2619146889603872e-10,1.16
DimF,108,1.2000000000000002,0.15999999999999998,3.169786384922228e-10,1.16
DimF,109,1.6,0.15999999999999998,7.962143411069946e-10,1.16
DimF,110,2,0.15999999999999998,1.9999999999999997e-9,1.16
DimF,111,-2,0.2,1.9999999999999998e-13,1.2
DimF,112,-1.6,0.2,5.023772863019159e-13,1.2
DimF,113,-1.2,0.2,1.2619146889603865e-12,1.2
DimF,114,-0.7999999999999998,0.2,3.1697863849222284e-12,1.2
DimF,115,-0.3999999999999999,0.2,7.962143411069945e-12,1.2
DimF,116,0,0.2,2e-11,1.2
DimF,117,0.40000000000000036,0.2,5.0237728630191646e-11,1.2
DimF,118,0.8000000000000003,0.2,1.2619146889603872e-10,1.2
DimF,119,1.2000000000000002,0.2,3.169786384922228e-10,1.2
DimF,120,1.6,0.2,7.962143411069946e-10,1.2
DimF,121,2,0.2,1.9999999999999997e-9,1.2
