SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2
pLFC_S.pB10,108,1.2784810022913362e-10,0.08499999999999996,187.1,0,0,54119384.16475987,7.599805084099794e-14
pLFC_S.pB10,109,1.446723560333922e-10,0.08499999999999996,187.1,0,0,54119384.16475987,8.61773668180733e-14
pLFC_S.pB10,110,1.6371061097303018e-10,0.08499999999999996,187.1,0,0,54119384.16475987,9.774692316098459e-14
pLFC_S.pB10,111,1.8525421773719368e-10,0.08499999999999996,187.1,0,0,54119384.16475987,1.1090419232309533e-13
pLFC_S.pB10,112,2.0963286976598801e-10,0.08499999999999996,187.1,0,0,54119384.16475987,1.2587684615773367e-13
pLFC_S.pB10,113,2.372196467271062e-10,0.08499999999999996,187.1,0,0,54119384.16475987,1.4292797567253196e-13
pLFC_S.pB10,114,2.6843672395531524e-10,0.08499999999999996,187.1,0,0,54119384.16475987,1.6236237672130483e-13
pLFC_S.pB10,115,3.037618332294253e-10,0.08499999999999996,187.1,0,0,54119384.16475987,1.8453416214712217e-13
pLFC_S.pB10,116,3.4373557375950136e-10,0.08499999999999996,187.1,0,0,54119384.16475987,2.0985603555576525e-13
pLFC_S.pB10,117,3.8896968526830575e-10,0.08499999999999996,187.1,0,0,54119384.16475987,2.3881066097642525e-13
pLFC_S.pB10,118,4.4015640977439775e-10,0.08499999999999996,187.1,0,0,54119384.16475987,2.7196469510681366e-13
pLFC_S.pB10,119,4.980790853453036e-10,0.08499999999999996,187.1,0,0,54119384.16475987,3.0998622724608644e-13
pLFC_S.pB10,120,5.6362413394268e-10,0.08499999999999996,187.1,0,0,54119384.16475987,3.536666142991138e-13
pLFC_S.pB10,121,6.377946268159443e-10,0.08499999999999996,187.1,0,0,54119384.16475987,4.039480300789612e-13
pLFC_S.pB10,122,7.217256350429077e-10,0.08499999999999996,187.1,0,0,54119384.16475987,4.619585067639804e-13
pLFC_S.pB10,123,8.167016001350057e-10,0.08499999999999996,187.1,0,0,54119384.16475987,5.290568862883711e-13
pLFC_S.pB10,124,9.241759905388764e-10,0.08499999999999996,187.1,0,0,54119384.16475987,6.068910013680739e-13
pLFC_S.pB10,125,1.045793544848357e-9,0.08499999999999996,187.1,0,0,54119384.16475987,6.974736906957715e-13
pLFC_S.pB10,126,1.1834154421267467e-9,0.08499999999999996,187.1,0,0,54119384.16475987,8.032831039609098e-13
pLFC_S.pB10,127,1.3391477845343896e-9,0.08499999999999996,187.1,0,0,54119384.16475987,9.27396451536502e-13
pLFC_S.pB10,128,1.515373828146568e-9,0.08499999999999996,187.1,0,0,54119384.16475987,1.0736703398739268e-12
pLFC_S.pB10,129,1.7147904552073083e-9,0.08499999999999996,187.1,0,0,54119384.16475987,1.2469868006647413e-12
pLFC_S.pB10,130,1.940449445973715e-9,0.08499999999999996,187.1,0,0,54119384.16475987,1.453593183300641e-12
pLFC_S.pB10,131,2.195804181756125e-9,0.08499999999999996,187.1,0,0,54119384.16475987,1.7015780529983185e-12
pLFC_S.pB10,132,2.484762493875874e-9,0.08499999999999996,187.1,0,0,54119384.16475987,2.0015471372717842e-12
pLFC_S.pB10,133,2.811746467316805e-9,0.08499999999999996,187.1,0,0,54119384.16475987,2.3675982911622924e-12
pLFC_S.pB10,134,3.181760114278126e-9,0.08499999999999996,187.1,0,0,54119384.16475987,2.8187512011254178e-12
pLFC_S.pB10,135,3.600465953273499e-9,0.08499999999999996,187.1,0,0,54119384.16475987,3.381081604574146e-12
pLFC_S.pB10,136,4.07427166570749e-9,0.08499999999999996,187.1,0,0,54119384.16475987,4.0909690524649386e-12
pLFC_S.pB10,137,4.6104281560820535e-9,0.08499999999999996,187.1,0,0,54119384.16475987,5.000143116991334e-12
pLFC_S.pB10,138,5.217140516500902e-9,0.08499999999999996,187.1,0,0,54119384.16475987,6.183702768540838e-12
pLFC_S.pB10,139,5.9036935936218e-9,0.08499999999999996,187.1,0,0,54119384.16475987,7.753176728342928e-12
pLFC_S.pB10,140,6.680594079675495e-9,0.08499999999999996,187.1,0,0,54119384.16475987,9.878368284064891e-12
pLFC_S.pB10,141,7.559731302046731e-9,0.08499999999999996,187.1,0,0,54119384.16475987,1.2824971142975115e-11
pLFC_S.pB10,142,8.554559172067093e-9,0.08499999999999996,187.1,0,0,54119384.16475987,1.7021434150115933e-11
pLFC_S.pB10,143,9.680302077480451e-9,0.08499999999999996,187.1,0,0,54119384.16475987,2.318202885508987e-11
pLFC_S.pB10,144,1.0954187869464368e-8,0.08499999999999996,187.1,0,0,54119384.16475987,3.2542186767402267e-11
pLFC_S.pB10,145,1.2395711509733374e-8,0.08499999999999996,187.1,0,0,54119384.16475987,4.732785850260545e-11
pLFC_S.pB10,146,1.4026933412458421e-8,0.08499999999999996,187.1,0,0,54119384.16475987,7.173606327825289e-11
pLFC_S.pB10,147,1.5872817046689634e-8,0.08499999999999996,187.1,0,0,54119384.16475987,1.1409120863134625e-10
pLFC_S.pB10,148,1.7961610965794372e-8,0.08499999999999996,187.1,0,0,54119384.16475987,1.9186448904693554e-10
pLFC_S.pB10,149,2.0325281110313596e-8,0.08499999999999996,187.1,0,0,54119384.16475987,3.4411991747403004e-10
pLFC_S.pB10,150,2.300000000000001e-8,0.08499999999999996,187.1,0,0,54119384.16475987,6.646258351993207e-10
pLFC_S.pB10,151,2.300000000000001e-16,0.09036912751677847,187.1,0,0,54119384.16475922,2.54441178727351e-19
pLFC_S.pB10,152,2.6026700301408013e-16,0.09036912751677847,187.1,0,0,54119384.16475922,2.8792453598313306e-19
pLFC_S.pB10,153,2.9451701242578663e-16,0.09036912751677847,187.1,0,0,54119384.16475922,3.2581415821201923e-19
pLFC_S.pB10,154,3.3327417461182633e-16,0.09036912751677847,187.1,0,0,54119384.16475922,3.686898908684884e-19
pLFC_S.pB10,155,3.771316113400474e-16,0.09036912751677847,187.1,0,0,54119384.16475922,4.1720788457890594e-19
pLFC_S.pB10,156,4.267604966319347e-16,0.09036912751677847,187.1,0,0,54119384.16475922,4.721106365779957e-19
