"","time","cell_types","density","host","genotype"
"50981",72.7800000000018,"C",996599033.539686,"C","C"
"50982",72.7900000000018,"A1",886619.941511944,"1","A"
"50983",72.7900000000018,"M1",2526983.93736591,"1","M"
"50984",72.7900000000018,"F1",0,"1","F"
"50985",72.7900000000018,"A2",0,"2","A"
"50986",72.7900000000018,"M2",0,"2","M"
"50987",72.7900000000018,"F2",0,"2","F"
"50988",72.7900000000018,"C",996586775.37297,"C","C"
"50989",72.8000000000018,"A1",889165.59561482,"1","A"
"50990",72.8000000000018,"M1",2536741.26724265,"1","M"
"50991",72.8000000000018,"F1",0,"1","F"
"50992",72.8000000000018,"A2",0,"2","A"
"50993",72.8000000000018,"M2",0,"2","M"
"50994",72.8000000000018,"F2",0,"2","F"
"50995",72.8000000000018,"C",996574472.38899,"C","C"
"50996",72.8100000000018,"A1",891718.558460598,"1","A"
"50997",72.8100000000018,"M1",2546536.27145884,"1","M"
"50998",72.8100000000018,"F1",0,"1","F"
"50999",72.8100000000018,"A2",0,"2","A"
"51000",72.8100000000018,"M2",0,"2","M"
"51001",72.8100000000018,"F2",0,"2","F"
"51002",72.8100000000018,"C",996562124.421928,"C","C"
"51003",72.8200000000018,"A1",894278.851031111,"1","A"
"51004",72.8200000000018,"M1",2556369.095471,"1","M"
"51005",72.8200000000018,"F1",0,"1","F"
"51006",72.8200000000018,"A2",0,"2","A"
"51007",72.8200000000018,"M2",0,"2","M"
"51008",72.8200000000018,"F2",0,"2","F"
"51009",72.8200000000018,"C",996549731.305346,"C","C"
"51010",72.8300000000018,"A1",896846.494368414,"1","A"
"51011",72.8300000000018,"M1",2566239.88529718,"1","M"
"51012",72.8300000000018,"F1",0,"1","F"
"51013",72.8300000000018,"A2",0,"2","A"
"51014",72.8300000000018,"M2",0,"2","M"
"51015",72.8300000000018,"F2",0,"2","F"
"51016",72.8300000000018,"C",996537292.872182,"C","C"
"51017",72.8400000000019,"A1",899421.509574956,"1","A"
"51018",72.8400000000019,"M1",2576148.78751912,"1","M"
"51019",72.8400000000019,"F1",0,"1","F"
"51020",72.8400000000019,"A2",0,"2","A"
"51021",72.8400000000019,"M2",0,"2","M"
"51022",72.8400000000019,"F2",0,"2","F"
"51023",72.8400000000019,"C",996524808.954754,"C","C"
"51024",72.8500000000019,"A1",902003.917813751,"1","A"
"51025",72.8500000000019,"M1",2586095.94928441,"1","M"
"51026",72.8500000000019,"F1",0,"1","F"
"51027",72.8500000000019,"A2",0,"2","A"
"51028",72.8500000000019,"M2",0,"2","M"
"51029",72.8500000000019,"F2",0,"2","F"
"51030",72.8500000000019,"C",996512279.384749,"C","C"
"51031",72.8600000000019,"A1",904593.740308557,"1","A"
"51032",72.8600000000019,"M1",2596081.51830871,"1","M"
"51033",72.8600000000019,"F1",0,"1","F"
"51034",72.8600000000019,"A2",0,"2","A"
"51035",72.8600000000019,"M2",0,"2","M"
"51036",72.8600000000019,"F2",0,"2","F"
"51037",72.8600000000019,"C",996499703.99323,"C","C"
"51038",72.8700000000019,"A1",907190.998344042,"1","A"
"51039",72.8700000000019,"M1",2606105.64287792,"1","M"
"51040",72.8700000000019,"F1",0,"1","F"
"51041",72.8700000000019,"A2",0,"2","A"
"51042",72.8700000000019,"M2",0,"2","M"
"51043",72.8700000000019,"F2",0,"2","F"
"51044",72.8700000000019,"C",996487082.610626,"C","C"
"51045",72.8800000000019,"A1",909795.713265966,"1","A"
"51046",72.8800000000019,"M1",2616168.47185036,"1","M"
"51047",72.8800000000019,"F1",0,"1","F"
"51048",72.8800000000019,"A2",0,"2","A"
"51049",72.8800000000019,"M2",0,"2","M"
"51050",72.8800000000019,"F2",0,"2","F"
"51051",72.8800000000019,"C",996474415.066731,"C","C"
"51052",72.8900000000019,"A1",912407.906481355,"1","A"
"51053",72.8900000000019,"M1",2626270.15465902,"1","M"
"51054",72.8900000000019,"F1",0,"1","F"
"51055",72.8900000000019,"A2",0,"2","A"
"51056",72.8900000000019,"M2",0,"2","M"
"51057",72.8900000000019,"F2",0,"2","F"
"51058",72.8900000000019,"C",996461701.190707,"C","C"
"51059",72.9000000000019,"A1",915027.599458674,"1","A"
"51060",72.9000000000019,"M1",2636410.84131377,"1","M"
"51061",72.9000000000019,"F1",0,"1","F"
"51062",72.9000000000019,"A2",0,"2","A"
"51063",72.9000000000019,"M2",0,"2","M"
"51064",72.9000000000019,"F2",0,"2","F"
"51065",72.9000000000019,"C",996448940.811075,"C","C"
"51066",72.9100000000019,"A1",917654.813728004,"1","A"
"51067",72.9100000000019,"M1",2646590.68240356,"1","M"
"51068",72.9100000000019,"F1",0,"1","F"
"51069",72.9100000000019,"A2",0,"2","A"
"51070",72.9100000000019,"M2",0,"2","M"
"51071",72.9100000000019,"F2",0,"2","F"
"51072",72.9100000000019,"C",996436133.755716,"C","C"
"51073",72.9200000000019,"A1",920289.570881222,"1","A"
"51074",72.9200000000019,"M1",2656809.82909868,"1","M"
"51075",72.9200000000019,"F1",0,"1","F"
"51076",72.9200000000019,"A2",0,"2","A"
"51077",72.9200000000019,"M2",0,"2","M"
"51078",72.9200000000019,"F2",0,"2","F"
"51079",72.9200000000019,"C",996423279.851868,"C","C"
"51080",72.9300000000019,"A1",922931.892572172,"1","A"
"51081",72.9300000000019,"M1",2667068.43315297,"1","M"
"51082",72.9300000000019,"F1",0,"1","F"
"51083",72.9300000000019,"A2",0,"2","A"
"51084",72.9300000000019,"M2",0,"2","M"
"51085",72.9300000000019,"F2",0,"2","F"
"51086",72.9300000000019,"C",996410378.926122,"C","C"
"51087",72.9400000000019,"A1",925581.800516849,"1","A"
"51088",72.9400000000019,"M1",2677366.64690614,"1","M"
"51089",72.9400000000019,"F1",0,"1","F"
"51090",72.9400000000019,"A2",0,"2","A"
"51091",72.9400000000019,"M2",0,"2","M"
"51092",72.9400000000019,"F2",0,"2","F"
"51093",72.9400000000019,"C",996397430.804425,"C","C"
"51094",72.9500000000019,"A1",928239.316493576,"1","A"
"51095",72.9500000000019,"M1",2687704.62328596,"1","M"
"51096",72.9500000000019,"F1",0,"1","F"
"51097",72.9500000000019,"A2",0,"2","A"
"51098",72.9500000000019,"M2",0,"2","M"
"51099",72.9500000000019,"F2",0,"2","F"
"51100",72.9500000000019,"C",996384435.312068,"C","C"
"51101",72.9600000000019,"A1",930904.462343179,"1","A"
"51102",72.9600000000019,"M1",2698082.51581056,"1","M"
"51103",72.9600000000019,"F1",0,"1","F"
"51104",72.9600000000019,"A2",0,"2","A"
"51105",72.9600000000019,"M2",0,"2","M"
"51106",72.9600000000019,"F2",0,"2","F"
"51107",72.9600000000019,"C",996371392.273694,"C","C"
"51108",72.9700000000019,"A1",933577.25996917,"1","A"
"51109",72.9700000000019,"M1",2708500.47859071,"1","M"
"51110",72.9700000000019,"F1",0,"1","F"
"51111",72.9700000000019,"A2",0,"2","A"
"51112",72.9700000000019,"M2",0,"2","M"
"51113",72.9700000000019,"F2",0,"2","F"
"51114",72.9700000000019,"C",996358301.513288,"C","C"
"51115",72.9800000000019,"A1",936257.731337925,"1","A"
"51116",72.9800000000019,"M1",2718958.6663321,"1","M"
"51117",72.9800000000019,"F1",0,"1","F"
"51118",72.9800000000019,"A2",0,"2","A"
"51119",72.9800000000019,"M2",0,"2","M"
"51120",72.9800000000019,"F2",0,"2","F"
"51121",72.9800000000019,"C",996345162.854177,"C","C"
"51122",72.9900000000019,"A1",938945.898478866,"1","A"
"51123",72.9900000000019,"M1",2729457.23433765,"1","M"
"51124",72.9900000000019,"F1",0,"1","F"
"51125",72.9900000000019,"A2",0,"2","A"
"51126",72.9900000000019,"M2",0,"2","M"
"51127",72.9900000000019,"F2",0,"2","F"
"51128",72.9900000000019,"C",996331976.119031,"C","C"
"51129",73.0000000000019,"A1",941641.783484641,"1","A"
"51130",73.0000000000019,"M1",2739996.3385098,"1","M"
"51131",73.0000000000019,"F1",0,"1","F"
"51132",73.0000000000019,"A2",0,"2","A"
"51133",73.0000000000019,"M2",0,"2","M"
"51134",73.0000000000019,"F2",0,"2","F"
"51135",73.0000000000019,"C",996318741.129853,"C","C"
"51136",73.0100000000019,"A1",944345.408511304,"1","A"
"51137",73.0100000000019,"M1",2750576.13535281,"1","M"
"51138",73.0100000000019,"F1",0,"1","F"
"51139",73.0100000000019,"A2",0,"2","A"
"51140",73.0100000000019,"M2",0,"2","M"
"51141",73.0100000000019,"F2",0,"2","F"
"51142",73.0100000000019,"C",996305457.707983,"C","C"
"51143",73.0200000000019,"A1",947056.795778498,"1","A"
"51144",73.0200000000019,"M1",2761196.78197512,"1","M"
"51145",73.0200000000019,"F1",0,"1","F"
"51146",73.0200000000019,"A2",0,"2","A"
"51147",73.0200000000019,"M2",0,"2","M"
"51148",73.0200000000019,"F2",0,"2","F"
"51149",73.0200000000019,"C",996292125.674094,"C","C"
"51150",73.0300000000019,"A1",949775.967569639,"1","A"
"51151",73.0300000000019,"M1",2771858.43609167,"1","M"
"51152",73.0300000000019,"F1",0,"1","F"
"51153",73.0300000000019,"A2",0,"2","A"
"51154",73.0300000000019,"M2",0,"2","M"
"51155",73.0300000000019,"F2",0,"2","F"
"51156",73.0300000000019,"C",996278744.848186,"C","C"
"51157",73.040000000002,"A1",952502.946232097,"1","A"
"51158",73.040000000002,"M1",2782561.25602621,"1","M"
"51159",73.040000000002,"F1",0,"1","F"
"51160",73.040000000002,"A2",0,"2","A"
"51161",73.040000000002,"M2",0,"2","M"
"51162",73.040000000002,"F2",0,"2","F"
"51163",73.040000000002,"C",996265315.049589,"C","C"
"51164",73.050000000002,"A1",955237.75417738,"1","A"
"51165",73.050000000002,"M1",2793305.40071369,"1","M"
"51166",73.050000000002,"F1",0,"1","F"
"51167",73.050000000002,"A2",0,"2","A"
"51168",73.050000000002,"M2",0,"2","M"
"51169",73.050000000002,"F2",0,"2","F"
"51170",73.050000000002,"C",996251836.096956,"C","C"
"51171",73.060000000002,"A1",957980.413881315,"1","A"
"51172",73.060000000002,"M1",2804091.02970258,"1","M"
"51173",73.060000000002,"F1",0,"1","F"
"51174",73.060000000002,"A2",0,"2","A"
"51175",73.060000000002,"M2",0,"2","M"
"51176",73.060000000002,"F2",0,"2","F"
"51177",73.060000000002,"C",996238307.808264,"C","C"
"51178",73.070000000002,"A1",960730.94788424,"1","A"
"51179",73.070000000002,"M1",2814918.3031573,"1","M"
"51180",73.070000000002,"F1",0,"1","F"
"51181",73.070000000002,"A2",0,"2","A"
"51182",73.070000000002,"M2",0,"2","M"
"51183",73.070000000002,"F2",0,"2","F"
"51184",73.070000000002,"C",996224730.000806,"C","C"
"51185",73.080000000002,"A1",963489.37879118,"1","A"
"51186",73.080000000002,"M1",2825787.38186051,"1","M"
"51187",73.080000000002,"F1",0,"1","F"
"51188",73.080000000002,"A2",0,"2","A"
"51189",73.080000000002,"M2",0,"2","M"
"51190",73.080000000002,"F2",0,"2","F"
"51191",73.080000000002,"C",996211102.491196,"C","C"
"51192",73.090000000002,"A1",966255.729272041,"1","A"
"51193",73.090000000002,"M1",2836698.42721557,"1","M"
"51194",73.090000000002,"F1",0,"1","F"
"51195",73.090000000002,"A2",0,"2","A"
"51196",73.090000000002,"M2",0,"2","M"
"51197",73.090000000002,"F2",0,"2","F"
"51198",73.090000000002,"C",996197425.09536,"C","C"
"51199",73.100000000002,"A1",969030.022061789,"1","A"
"51200",73.100000000002,"M1",2847651.6012489,"1","M"
"51201",73.100000000002,"F1",0,"1","F"
"51202",73.100000000002,"A2",0,"2","A"
"51203",73.100000000002,"M2",0,"2","M"
"51204",73.100000000002,"F2",0,"2","F"
"51205",73.100000000002,"C",996183697.628537,"C","C"
"51206",73.110000000002,"A1",971812.27996064,"1","A"
"51207",73.110000000002,"M1",2858647.0666124,"1","M"
"51208",73.110000000002,"F1",0,"1","F"
"51209",73.110000000002,"A2",0,"2","A"
"51210",73.110000000002,"M2",0,"2","M"
"51211",73.110000000002,"F2",0,"2","F"
"51212",73.110000000002,"C",996169919.905274,"C","C"
"51213",73.120000000002,"A1",974602.525834249,"1","A"
"51214",73.120000000002,"M1",2869684.98658584,"1","M"
"51215",73.120000000002,"F1",0,"1","F"
"51216",73.120000000002,"A2",0,"2","A"
"51217",73.120000000002,"M2",0,"2","M"
"51218",73.120000000002,"F2",0,"2","F"
"51219",73.120000000002,"C",996156091.739427,"C","C"
"51220",73.130000000002,"A1",977400.782613893,"1","A"
"51221",73.130000000002,"M1",2880765.52507932,"1","M"
"51222",73.130000000002,"F1",0,"1","F"
"51223",73.130000000002,"A2",0,"2","A"
"51224",73.130000000002,"M2",0,"2","M"
"51225",73.130000000002,"F2",0,"2","F"
"51226",73.130000000002,"C",996142212.944154,"C","C"
"51227",73.140000000002,"A1",980207.073296663,"1","A"
"51228",73.140000000002,"M1",2891888.84663567,"1","M"
"51229",73.140000000002,"F1",0,"1","F"
"51230",73.140000000002,"A2",0,"2","A"
"51231",73.140000000002,"M2",0,"2","M"
"51232",73.140000000002,"F2",0,"2","F"
"51233",73.140000000002,"C",996128283.331915,"C","C"
"51234",73.150000000002,"A1",983021.42094565,"1","A"
"51235",73.150000000002,"M1",2903055.11643289,"1","M"
"51236",73.150000000002,"F1",0,"1","F"
"51237",73.150000000002,"A2",0,"2","A"
"51238",73.150000000002,"M2",0,"2","M"
"51239",73.150000000002,"F2",0,"2","F"
"51240",73.150000000002,"C",996114302.714469,"C","C"
"51241",73.160000000002,"A1",985843.848690139,"1","A"
"51242",73.160000000002,"M1",2914264.50028665,"1","M"
"51243",73.160000000002,"F1",0,"1","F"
"51244",73.160000000002,"A2",0,"2","A"
"51245",73.160000000002,"M2",0,"2","M"
"51246",73.160000000002,"F2",0,"2","F"
"51247",73.160000000002,"C",996100270.902871,"C","C"
"51248",73.170000000002,"A1",988674.379725792,"1","A"
"51249",73.170000000002,"M1",2925517.16465269,"1","M"
"51250",73.170000000002,"F1",0,"1","F"
"51251",73.170000000002,"A2",0,"2","A"
"51252",73.170000000002,"M2",0,"2","M"
"51253",73.170000000002,"F2",0,"2","F"
"51254",73.170000000002,"C",996086187.707469,"C","C"
"51255",73.180000000002,"A1",991513.037314845,"1","A"
"51256",73.180000000002,"M1",2936813.27662932,"1","M"
"51257",73.180000000002,"F1",0,"1","F"
"51258",73.180000000002,"A2",0,"2","A"
"51259",73.180000000002,"M2",0,"2","M"
"51260",73.180000000002,"F2",0,"2","F"
"51261",73.180000000002,"C",996072052.937903,"C","C"
"51262",73.190000000002,"A1",994359.844786293,"1","A"
"51263",73.190000000002,"M1",2948153.0039599,"1","M"
"51264",73.190000000002,"F1",0,"1","F"
"51265",73.190000000002,"A2",0,"2","A"
"51266",73.190000000002,"M2",0,"2","M"
"51267",73.190000000002,"F2",0,"2","F"
"51268",73.190000000002,"C",996057866.403101,"C","C"
"51269",73.200000000002,"A1",997214.825536089,"1","A"
"51270",73.200000000002,"M1",2959536.51503533,"1","M"
"51271",73.200000000002,"F1",0,"1","F"
"51272",73.200000000002,"A2",0,"2","A"
"51273",73.200000000002,"M2",0,"2","M"
"51274",73.200000000002,"F2",0,"2","F"
"51275",73.200000000002,"C",996043627.911276,"C","C"
"51276",73.210000000002,"A1",1000078.00302733,"1","A"
"51277",73.210000000002,"M1",2970963.97889654,"1","M"
"51278",73.210000000002,"F1",0,"1","F"
"51279",73.210000000002,"A2",0,"2","A"
"51280",73.210000000002,"M2",0,"2","M"
"51281",73.210000000002,"F2",0,"2","F"
"51282",73.210000000002,"C",996029337.269924,"C","C"
"51283",73.220000000002,"A1",1002949.40079044,"1","A"
"51284",73.220000000002,"M1",2982435.56523699,"1","M"
"51285",73.220000000002,"F1",0,"1","F"
"51286",73.220000000002,"A2",0,"2","A"
"51287",73.220000000002,"M2",0,"2","M"
"51288",73.220000000002,"F2",0,"2","F"
"51289",73.220000000002,"C",996014994.28582,"C","C"
"51290",73.2300000000021,"A1",1005829.04242339,"1","A"
"51291",73.2300000000021,"M1",2993951.44440521,"1","M"
"51292",73.2300000000021,"F1",0,"1","F"
"51293",73.2300000000021,"A2",0,"2","A"
"51294",73.2300000000021,"M2",0,"2","M"
"51295",73.2300000000021,"F2",0,"2","F"
"51296",73.2300000000021,"C",996000598.765019,"C","C"
"51297",73.2400000000021,"A1",1008716.95159188,"1","A"
"51298",73.2400000000021,"M1",3005511.78740735,"1","M"
"51299",73.2400000000021,"F1",0,"1","F"
"51300",73.2400000000021,"A2",0,"2","A"
"51301",73.2400000000021,"M2",0,"2","M"
"51302",73.2400000000021,"F2",0,"2","F"
"51303",73.2400000000021,"C",995986150.512848,"C","C"
"51304",73.2500000000021,"A1",1011613.15202951,"1","A"
"51305",73.2500000000021,"M1",3017116.76590963,"1","M"
"51306",73.2500000000021,"F1",0,"1","F"
"51307",73.2500000000021,"A2",0,"2","A"
"51308",73.2500000000021,"M2",0,"2","M"
"51309",73.2500000000021,"F2",0,"2","F"
"51310",73.2500000000021,"C",995971649.333908,"C","C"
"51311",73.2600000000021,"A1",1014517.667538,"1","A"
"51312",73.2600000000021,"M1",3028766.55224099,"1","M"
"51313",73.2600000000021,"F1",0,"1","F"
"51314",73.2600000000021,"A2",0,"2","A"
"51315",73.2600000000021,"M2",0,"2","M"
"51316",73.2600000000021,"F2",0,"2","F"
"51317",73.2600000000021,"C",995957095.032068,"C","C"
"51318",73.2700000000021,"A1",1017430.52198739,"1","A"
"51319",73.2700000000021,"M1",3040461.31939558,"1","M"
"51320",73.2700000000021,"F1",0,"1","F"
"51321",73.2700000000021,"A2",0,"2","A"
"51322",73.2700000000021,"M2",0,"2","M"
"51323",73.2700000000021,"F2",0,"2","F"
"51324",73.2700000000021,"C",995942487.410465,"C","C"
"51325",73.2800000000021,"A1",1020351.73931621,"1","A"
"51326",73.2800000000021,"M1",3052201.24103537,"1","M"
"51327",73.2800000000021,"F1",0,"1","F"
"51328",73.2800000000021,"A2",0,"2","A"
"51329",73.2800000000021,"M2",0,"2","M"
"51330",73.2800000000021,"F2",0,"2","F"
"51331",73.2800000000021,"C",995927826.271496,"C","C"
"51332",73.2900000000021,"A1",1023281.34353171,"1","A"
"51333",73.2900000000021,"M1",3063986.49149267,"1","M"
"51334",73.2900000000021,"F1",0,"1","F"
"51335",73.2900000000021,"A2",0,"2","A"
"51336",73.2900000000021,"M2",0,"2","M"
"51337",73.2900000000021,"F2",0,"2","F"
"51338",73.2900000000021,"C",995913111.416823,"C","C"
"51339",73.3000000000021,"A1",1026219.35871002,"1","A"
"51340",73.3000000000021,"M1",3075817.24577278,"1","M"
"51341",73.3000000000021,"F1",0,"1","F"
"51342",73.3000000000021,"A2",0,"2","A"
"51343",73.3000000000021,"M2",0,"2","M"
"51344",73.3000000000021,"F2",0,"2","F"
"51345",73.3000000000021,"C",995898342.647365,"C","C"
"51346",73.3100000000021,"A1",1029165.80899638,"1","A"
"51347",73.3100000000021,"M1",3087693.67955657,"1","M"
"51348",73.3100000000021,"F1",0,"1","F"
"51349",73.3100000000021,"A2",0,"2","A"
"51350",73.3100000000021,"M2",0,"2","M"
"51351",73.3100000000021,"F2",0,"2","F"
"51352",73.3100000000021,"C",995883519.763295,"C","C"
"51353",73.3200000000021,"A1",1032120.71860532,"1","A"
"51354",73.3200000000021,"M1",3099615.96920304,"1","M"
"51355",73.3200000000021,"F1",0,"1","F"
"51356",73.3200000000021,"A2",0,"2","A"
"51357",73.3200000000021,"M2",0,"2","M"
"51358",73.3200000000021,"F2",0,"2","F"
"51359",73.3200000000021,"C",995868642.564039,"C","C"
"51360",73.3300000000021,"A1",1035084.11182086,"1","A"
"51361",73.3300000000021,"M1",3111584.29175202,"1","M"
"51362",73.3300000000021,"F1",0,"1","F"
"51363",73.3300000000021,"A2",0,"2","A"
"51364",73.3300000000021,"M2",0,"2","M"
"51365",73.3300000000021,"F2",0,"2","F"
"51366",73.3300000000021,"C",995853710.848275,"C","C"
"51367",73.3400000000021,"A1",1038056.01299672,"1","A"
"51368",73.3400000000021,"M1",3123598.82492672,"1","M"
"51369",73.3400000000021,"F1",0,"1","F"
"51370",73.3400000000021,"A2",0,"2","A"
"51371",73.3400000000021,"M2",0,"2","M"
"51372",73.3400000000021,"F2",0,"2","F"
"51373",73.3400000000021,"C",995838724.413924,"C","C"
"51374",73.3500000000021,"A1",1041036.4465565,"1","A"
"51375",73.3500000000021,"M1",3135659.7471364,"1","M"
"51376",73.3500000000021,"F1",0,"1","F"
"51377",73.3500000000021,"A2",0,"2","A"
"51378",73.3500000000021,"M2",0,"2","M"
"51379",73.3500000000021,"F2",0,"2","F"
"51380",73.3500000000021,"C",995823683.058154,"C","C"
"51381",73.3600000000021,"A1",1044025.43699391,"1","A"
"51382",73.3600000000021,"M1",3147767.23747904,"1","M"
"51383",73.3600000000021,"F1",0,"1","F"
"51384",73.3600000000021,"A2",0,"2","A"
"51385",73.3600000000021,"M2",0,"2","M"
"51386",73.3600000000021,"F2",0,"2","F"
"51387",73.3600000000021,"C",995808586.577374,"C","C"
"51388",73.3700000000021,"A1",1047023.00887294,"1","A"
"51389",73.3700000000021,"M1",3159921.47574394,"1","M"
"51390",73.3700000000021,"F1",0,"1","F"
"51391",73.3700000000021,"A2",0,"2","A"
"51392",73.3700000000021,"M2",0,"2","M"
"51393",73.3700000000021,"F2",0,"2","F"
"51394",73.3700000000021,"C",995793434.767231,"C","C"
"51395",73.3800000000021,"A1",1050029.18682809,"1","A"
"51396",73.3800000000021,"M1",3172122.64241446,"1","M"
"51397",73.3800000000021,"F1",0,"1","F"
"51398",73.3800000000021,"A2",0,"2","A"
"51399",73.3800000000021,"M2",0,"2","M"
"51400",73.3800000000021,"F2",0,"2","F"
"51401",73.3800000000021,"C",995778227.422605,"C","C"
"51402",73.3900000000021,"A1",1053043.99556454,"1","A"
"51403",73.3900000000021,"M1",3184370.91867064,"1","M"
"51404",73.3900000000021,"F1",0,"1","F"
"51405",73.3900000000021,"A2",0,"2","A"
"51406",73.3900000000021,"M2",0,"2","M"
"51407",73.3900000000021,"F2",0,"2","F"
"51408",73.3900000000021,"C",995762964.337612,"C","C"
"51409",73.4000000000021,"A1",1056067.45985838,"1","A"
"51410",73.4000000000021,"M1",3196666.4863919,"1","M"
"51411",73.4000000000021,"F1",0,"1","F"
"51412",73.4000000000021,"A2",0,"2","A"
"51413",73.4000000000021,"M2",0,"2","M"
"51414",73.4000000000021,"F2",0,"2","F"
"51415",73.4000000000021,"C",995747645.305597,"C","C"
"51416",73.4100000000021,"A1",1059099.60455681,"1","A"
"51417",73.4100000000021,"M1",3209009.52815977,"1","M"
"51418",73.4100000000021,"F1",0,"1","F"
"51419",73.4100000000021,"A2",0,"2","A"
"51420",73.4100000000021,"M2",0,"2","M"
"51421",73.4100000000021,"F2",0,"2","F"
"51422",73.4100000000021,"C",995732270.119131,"C","C"
"51423",73.4200000000021,"A1",1062140.45457833,"1","A"
"51424",73.4200000000021,"M1",3221400.22726056,"1","M"
"51425",73.4200000000021,"F1",0,"1","F"
"51426",73.4200000000021,"A2",0,"2","A"
"51427",73.4200000000021,"M2",0,"2","M"
"51428",73.4200000000021,"F2",0,"2","F"
"51429",73.4200000000021,"C",995716838.570008,"C","C"
"51430",73.4300000000022,"A1",1065190.03491294,"1","A"
"51431",73.4300000000022,"M1",3233838.76768811,"1","M"
"51432",73.4300000000022,"F1",0,"1","F"
"51433",73.4300000000022,"A2",0,"2","A"
"51434",73.4300000000022,"M2",0,"2","M"
"51435",73.4300000000022,"F2",0,"2","F"
"51436",73.4300000000022,"C",995701350.449246,"C","C"
"51437",73.4400000000022,"A1",1068248.37062239,"1","A"
"51438",73.4400000000022,"M1",3246325.3341465,"1","M"
"51439",73.4400000000022,"F1",0,"1","F"
"51440",73.4400000000022,"A2",0,"2","A"
"51441",73.4400000000022,"M2",0,"2","M"
"51442",73.4400000000022,"F2",0,"2","F"
"51443",73.4400000000022,"C",995685805.547078,"C","C"
"51444",73.4500000000022,"A1",1071315.48684032,"1","A"
"51445",73.4500000000022,"M1",3258860.1120528,"1","M"
"51446",73.4500000000022,"F1",0,"1","F"
"51447",73.4500000000022,"A2",0,"2","A"
"51448",73.4500000000022,"M2",0,"2","M"
"51449",73.4500000000022,"F2",0,"2","F"
"51450",73.4500000000022,"C",995670203.652954,"C","C"
"51451",73.4600000000022,"A1",1074391.40877253,"1","A"
"51452",73.4600000000022,"M1",3271443.28753982,"1","M"
"51453",73.4600000000022,"F1",0,"1","F"
"51454",73.4600000000022,"A2",0,"2","A"
"51455",73.4600000000022,"M2",0,"2","M"
"51456",73.4600000000022,"F2",0,"2","F"
"51457",73.4600000000022,"C",995654544.555535,"C","C"
"51458",73.4700000000022,"A1",1077476.16169712,"1","A"
"51459",73.4700000000022,"M1",3284075.04745888,"1","M"
"51460",73.4700000000022,"F1",0,"1","F"
"51461",73.4700000000022,"A2",0,"2","A"
"51462",73.4700000000022,"M2",0,"2","M"
"51463",73.4700000000022,"F2",0,"2","F"
"51464",73.4700000000022,"C",995638828.042691,"C","C"
"51465",73.4800000000022,"A1",1080569.77096477,"1","A"
"51466",73.4800000000022,"M1",3296755.57938255,"1","M"
"51467",73.4800000000022,"F1",0,"1","F"
"51468",73.4800000000022,"A2",0,"2","A"
"51469",73.4800000000022,"M2",0,"2","M"
"51470",73.4800000000022,"F2",0,"2","F"
"51471",73.4800000000022,"C",995623053.9015,"C","C"
"51472",73.4900000000022,"A1",1083672.26199889,"1","A"
"51473",73.4900000000022,"M1",3309485.07160748,"1","M"
"51474",73.4900000000022,"F1",0,"1","F"
"51475",73.4900000000022,"A2",0,"2","A"
"51476",73.4900000000022,"M2",0,"2","M"
"51477",73.4900000000022,"F2",0,"2","F"
"51478",73.4900000000022,"C",995607221.918241,"C","C"
"51479",73.5000000000022,"A1",1086783.66029586,"1","A"
"51480",73.5000000000022,"M1",3322263.71315718,"1","M"
"51481",73.5000000000022,"F1",0,"1","F"
"51482",73.5000000000022,"A2",0,"2","A"
"51483",73.5000000000022,"M2",0,"2","M"
"51484",73.5000000000022,"F2",0,"2","F"
"51485",73.5000000000022,"C",995591331.878394,"C","C"
"51486",73.5100000000022,"A1",1089903.99142521,"1","A"
"51487",73.5100000000022,"M1",3335091.69378479,"1","M"
"51488",73.5100000000022,"F1",0,"1","F"
"51489",73.5100000000022,"A2",0,"2","A"
"51490",73.5100000000022,"M2",0,"2","M"
"51491",73.5100000000022,"F2",0,"2","F"
"51492",73.5100000000022,"C",995575383.566637,"C","C"
"51493",73.5200000000022,"A1",1093033.28102989,"1","A"
"51494",73.5200000000022,"M1",3347969.20397595,"1","M"
"51495",73.5200000000022,"F1",0,"1","F"
"51496",73.5200000000022,"A2",0,"2","A"
"51497",73.5200000000022,"M2",0,"2","M"
"51498",73.5200000000022,"F2",0,"2","F"
"51499",73.5200000000022,"C",995559376.766841,"C","C"
"51500",73.5300000000022,"A1",1096171.55482639,"1","A"
"51501",73.5300000000022,"M1",3360896.43495156,"1","M"
"51502",73.5300000000022,"F1",0,"1","F"
"51503",73.5300000000022,"A2",0,"2","A"
"51504",73.5300000000022,"M2",0,"2","M"
"51505",73.5300000000022,"F2",0,"2","F"
"51506",73.5300000000022,"C",995543311.262069,"C","C"
"51507",73.5400000000022,"A1",1099318.83860505,"1","A"
"51508",73.5400000000022,"M1",3373873.57867071,"1","M"
"51509",73.5400000000022,"F1",0,"1","F"
"51510",73.5400000000022,"A2",0,"2","A"
"51511",73.5400000000022,"M2",0,"2","M"
"51512",73.5400000000022,"F2",0,"2","F"
"51513",73.5400000000022,"C",995527186.834572,"C","C"
"51514",73.5500000000022,"A1",1102475.15823018,"1","A"
"51515",73.5500000000022,"M1",3386900.82783344,"1","M"
"51516",73.5500000000022,"F1",0,"1","F"
"51517",73.5500000000022,"A2",0,"2","A"
"51518",73.5500000000022,"M2",0,"2","M"
