"","time","cell_types","density","host","genotype"
"200",0.27,"A2",0,"2","A"
"201",0.27,"M2",0,"2","M"
"202",0.27,"F2",10979026.0792789,"2","F"
"203",0.27,"C",997923546.355337,"C","C"
"204",0.28,"A1",10835.9046076762,"1","A"
"205",0.28,"M1",11139469.4243762,"1","M"
"206",0.28,"F1",0,"1","F"
"207",0.28,"A2",0,"2","A"
"208",0.28,"M2",0,"2","M"
"209",0.28,"F2",11017071.3974121,"2","F"
"210",0.28,"C",997842622.523879,"C","C"
"211",0.29,"A1",10867.0169351026,"1","A"
"212",0.29,"M1",11182482.2964542,"1","M"
"213",0.29,"F1",0,"1","F"
"214",0.29,"A2",0,"2","A"
"215",0.29,"M2",0,"2","M"
"216",0.29,"F2",11055248.522128,"2","F"
"217",0.29,"C",997761401.383919,"C","C"
"218",0.3,"A1",10898.2185678406,"1","A"
"219",0.3,"M1",11225661.2194094,"1","M"
"220",0.3,"F1",0,"1","F"
"221",0.3,"A2",0,"2","A"
"222",0.3,"M2",0,"2","M"
"223",0.3,"F2",11093557.9098402,"2","F"
"224",0.3,"C",997679881.840476,"C","C"
"225",0.31,"A1",10929.5097620641,"1","A"
"226",0.31,"M1",11269006.8340109,"1","M"
"227",0.31,"F1",0,"1","F"
"228",0.31,"A2",0,"2","A"
"229",0.31,"M2",0,"2","M"
"230",0.31,"F2",11132000.0185411,"2","F"
"231",0.31,"C",997598062.794532,"C","C"
"232",0.32,"A1",10960.8907746809,"1","A"
"233",0.32,"M1",11312519.7834985,"1","M"
"234",0.32,"F1",0,"1","F"
"235",0.32,"A2",0,"2","A"
"236",0.32,"M2",0,"2","M"
"237",0.32,"F2",11170575.3078073,"2","F"
"238",0.32,"C",997515943.143009,"C","C"
"239",0.33,"A1",10992.3618633344,"1","A"
"240",0.33,"M1",11356200.713592,"1","M"
"241",0.33,"F1",0,"1","F"
"242",0.33,"A2",0,"2","A"
"243",0.33,"M2",0,"2","M"
"244",0.33,"F2",11209284.2388051,"2","F"
"245",0.33,"C",997433521.778762,"C","C"
"246",0.34,"A1",11023.9232864061,"1","A"
"247",0.34,"M1",11400050.2725008,"1","M"
"248",0.34,"F1",0,"1","F"
"249",0.34,"A2",0,"2","A"
"250",0.34,"M2",0,"2","M"
"251",0.34,"F2",11248127.274296,"2","F"
"252",0.34,"C",997350797.59056,"C","C"
"253",0.35,"A1",11055.5753030172,"1","A"
"254",0.35,"M1",11444069.1109336,"1","M"
"255",0.35,"F1",0,"1","F"
"256",0.35,"A2",0,"2","A"
"257",0.35,"M2",0,"2","M"
"258",0.35,"F2",11287104.8786422,"2","F"
"259",0.35,"C",997267769.463069,"C","C"
"260",0.36,"A1",11087.3181730313,"1","A"
"261",0.36,"M1",11488257.8821076,"1","M"
"262",0.36,"F1",0,"1","F"
"263",0.36,"A2",0,"2","A"
"264",0.36,"M2",0,"2","M"
"265",0.36,"F2",11326217.517812,"2","F"
"266",0.36,"C",997184436.276842,"C","C"
"267",0.37,"A1",11119.152157056,"1","A"
"268",0.37,"M1",11532617.2417588,"1","M"
"269",0.37,"F1",0,"1","F"
"270",0.37,"A2",0,"2","A"
"271",0.37,"M2",0,"2","M"
"272",0.37,"F2",11365465.6593856,"2","F"
"273",0.37,"C",997100796.908299,"C","C"
"274",0.38,"A1",11151.0775164454,"1","A"
"275",0.38,"M1",11577147.8481512,"1","M"
"276",0.38,"F1",0,"1","F"
"277",0.38,"A2",0,"2","A"
"278",0.38,"M2",0,"2","M"
"279",0.38,"F2",11404849.7725604,"2","F"
"280",0.38,"C",997016850.229715,"C","C"
"281",0.39,"A1",11183.0945133017,"1","A"
"282",0.39,"M1",11621850.3620866,"1","M"
"283",0.39,"F1",0,"1","F"
"284",0.39,"A2",0,"2","A"
"285",0.39,"M2",0,"2","M"
"286",0.39,"F2",11444370.3281568,"2","F"
"287",0.39,"C",996932595.109204,"C","C"
"288",0.4,"A1",11215.2034104783,"1","A"
"289",0.4,"M1",11666725.4469146,"1","M"
"290",0.4,"F1",0,"1","F"
"291",0.4,"A2",0,"2","A"
"292",0.4,"M2",0,"2","M"
"293",0.4,"F2",11484027.7986235,"2","F"
"294",0.4,"C",996848030.410701,"C","C"
"295",0.41,"A1",11247.4044715807,"1","A"
"296",0.41,"M1",11711773.7685423,"1","M"
"297",0.41,"F1",0,"1","F"
"298",0.41,"A2",0,"2","A"
"299",0.41,"M2",0,"2","M"
"300",0.41,"F2",11523822.6580436,"2","F"
"301",0.41,"C",996763154.99395,"C","C"
"302",0.42,"A1",11279.6979609698,"1","A"
"303",0.42,"M1",11756995.9954438,"1","M"
"304",0.42,"F1",0,"1","F"
"305",0.42,"A2",0,"2","A"
"306",0.42,"M2",0,"2","M"
"307",0.42,"F2",11563755.3821398,"2","F"
"308",0.42,"C",996677967.714486,"C","C"
"309",0.43,"A1",11312.0841437632,"1","A"
"310",0.43,"M1",11802392.7986706,"1","M"
"311",0.43,"F1",0,"1","F"
"312",0.43,"A2",0,"2","A"
"313",0.43,"M2",0,"2","M"
"314",0.43,"F2",11603826.4482801,"2","F"
"315",0.43,"C",996592467.423624,"C","C"
"316",0.44,"A1",11344.5632858379,"1","A"
"317",0.44,"M1",11847964.8518614,"1","M"
"318",0.44,"F1",0,"1","F"
"319",0.44,"A2",0,"2","A"
"320",0.44,"M2",0,"2","M"
"321",0.44,"F2",11644036.3354837,"2","F"
"322",0.44,"C",996506652.968436,"C","C"
"323",0.45,"A1",11377.1356538321,"1","A"
"324",0.45,"M1",11893712.8312517,"1","M"
"325",0.45,"F1",0,"1","F"
"326",0.45,"A2",0,"2","A"
"327",0.45,"M2",0,"2","M"
"328",0.45,"F2",11684385.5244267,"2","F"
"329",0.45,"C",996420523.191742,"C","C"
"330",0.46,"A1",11409.8015151477,"1","A"
"331",0.46,"M1",11939637.4156841,"1","M"
"332",0.46,"F1",0,"1","F"
"333",0.46,"A2",0,"2","A"
"334",0.46,"M2",0,"2","M"
"335",0.46,"F2",11724874.4974475,"2","F"
"336",0.46,"C",996334076.93209,"C","C"
"337",0.47,"A1",11442.5611379523,"1","A"
"338",0.47,"M1",11985739.2866184,"1","M"
"339",0.47,"F1",0,"1","F"
"340",0.47,"A2",0,"2","A"
"341",0.47,"M2",0,"2","M"
"342",0.47,"F2",11765503.7385529,"2","F"
"343",0.47,"C",996247313.023743,"C","C"
"344",0.48,"A1",11475.4147911812,"1","A"
"345",0.48,"M1",12032019.1281414,"1","M"
"346",0.48,"F1",0,"1","F"
"347",0.48,"A2",0,"2","A"
"348",0.48,"M2",0,"2","M"
"349",0.48,"F2",11806273.7334236,"2","F"
"350",0.48,"C",996160230.296662,"C","C"
"351",0.49,"A1",11508.36274454,"1","A"
"352",0.49,"M1",12078477.6269772,"1","M"
"353",0.49,"F1",0,"1","F"
"354",0.49,"A2",0,"2","A"
"355",0.49,"M2",0,"2","M"
"356",0.49,"F2",11847184.96942,"2","F"
"357",0.49,"C",996072827.576489,"C","C"
"358",0.5,"A1",11541.4052685065,"1","A"
"359",0.5,"M1",12125115.4724975,"1","M"
"360",0.5,"F1",0,"1","F"
"361",0.5,"A2",0,"2","A"
"362",0.5,"M2",0,"2","M"
"363",0.5,"F2",11888237.9355881,"2","F"
"364",0.5,"C",995985103.684534,"C","C"
"365",0.51,"A1",11574.5426343329,"1","A"
"366",0.51,"M1",12171933.3567312,"1","M"
"367",0.51,"F1",0,"1","F"
"368",0.51,"A2",0,"2","A"
"369",0.51,"M2",0,"2","M"
"370",0.51,"F2",11929433.1226656,"2","F"
"371",0.51,"C",995897057.437756,"C","C"
"372",0.52,"A1",11607.7751140483,"1","A"
"373",0.52,"M1",12218931.9743753,"1","M"
"374",0.52,"F1",0,"1","F"
"375",0.52,"A2",0,"2","A"
"376",0.52,"M2",0,"2","M"
"377",0.52,"F2",11970771.0230868,"2","F"
"378",0.52,"C",995808687.648749,"C","C"
"379",0.53,"A1",11641.1029804606,"1","A"
"380",0.53,"M1",12266112.0228048,"1","M"
"381",0.53,"F1",0,"1","F"
"382",0.53,"A2",0,"2","A"
"383",0.53,"M2",0,"2","M"
"384",0.53,"F2",12012252.1309897,"2","F"
"385",0.53,"C",995719993.125724,"C","C"
"386",0.54,"A1",11674.5265071587,"1","A"
"387",0.54,"M1",12313474.2020831,"1","M"
"388",0.54,"F1",0,"1","F"
"389",0.54,"A2",0,"2","A"
"390",0.54,"M2",1.00772404838064,"2","M"
"391",0.54,"F2",12053876.9422207,"2","F"
"392",0.54,"C",995630972.672495,"C","C"
"393",0.55,"A1",11708.0459685151,"1","A"
"394",0.55,"M1",12361019.2149723,"1","M"
"395",0.55,"F1",0,"1","F"
"396",0.55,"A2",0,"2","A"
"397",0.55,"M2",1.03218797377636,"2","M"
"398",0.55,"F2",12095645.9543415,"2","F"
"399",0.55,"C",995541625.08846,"C","C"
"400",0.56,"A1",11741.6616396876,"1","A"
"401",0.56,"M1",12408747.7669437,"1","M"
"402",0.56,"F1",0,"1","F"
"403",0.56,"A2",0,"2","A"
"404",0.56,"M2",1.05689733834704,"2","M"
"405",0.56,"F2",12137559.6666342,"2","F"
"406",0.56,"C",995451949.168589,"C","C"
"407",0.57,"A1",11775.3737966222,"1","A"
"408",0.57,"M1",12456660.5661879,"1","M"
"409",0.57,"F1",0,"1","F"
"410",0.57,"A2",0,"2","A"
"411",0.57,"M2",1.08185419743654,"2","M"
"412",0.57,"F2",12179618.5801078,"2","F"
"413",0.57,"C",995361943.703403,"C","C"
"414",0.58,"A1",11809.1827160547,"1","A"
"415",0.58,"M1",12504758.3236258,"1","M"
"416",0.58,"F1",0,"1","F"
"417",0.58,"A2",0,"2","A"
"418",0.58,"M2",1.10706062244761,"2","M"
"419",0.58,"F2",12221823.1975038,"2","F"
"420",0.58,"C",995271607.47896,"C","C"
"421",0.59,"A1",11843.0886755132,"1","A"
"422",0.59,"M1",12553041.7529186,"1","M"
"423",0.59,"F1",0,"1","F"
"424",0.59,"A2",0,"2","A"
"425",0.59,"M2",1.13251870096348,"2","M"
"426",0.59,"F2",12264174.0233025,"2","F"
"427",0.59,"C",995180939.276837,"C","C"
"428",0.6,"A1",11877.0919533205,"1","A"
"429",0.6,"M1",12601511.5704787,"1","M"
"430",0.6,"F1",0,"1","F"
"431",0.6,"A2",0,"2","A"
"432",0.6,"M2",1.15823053687026,"2","M"
"433",0.6,"F2",12306671.5637287,"2","F"
"434",0.6,"C",995089937.874116,"C","C"
"435",0.61,"A1",11911.1928285964,"1","A"
"436",0.61,"M1",12650168.4954798,"1","M"
"437",0.61,"F1",0,"1","F"
"438",0.61,"A2",0,"2","A"
"439",0.61,"M2",1.18419825048033,"2","M"
"440",0.61,"F2",12349316.3267577,"2","F"
"441",0.61,"C",994998602.043366,"C","C"
"442",0.62,"A1",11945.3915812595,"1","A"
"443",0.62,"M1",12699013.2498683,"1","M"
"444",0.62,"F1",0,"1","F"
"445",0.62,"A2",0,"2","A"
"446",0.62,"M2",1.21042397865658,"2","M"
"447",0.62,"F2",12392108.8221219,"2","F"
"448",0.62,"C",994906930.552626,"C","C"
"449",0.63,"A1",11979.68849203,"1","A"
"450",0.63,"M1",12748046.5583733,"1","M"
"451",0.63,"F1",0,"1","F"
"452",0.63,"A2",0,"2","A"
"453",0.63,"M2",1.23690987493763,"2","M"
"454",0.63,"F2",12435049.561316,"2","F"
"455",0.63,"C",994814922.165387,"C","C"
"456",0.64,"A1",12014.0838424318,"1","A"
"457",0.64,"M1",12797269.1485174,"1","M"
"458",0.64,"F1",0,"1","F"
"459",0.64,"A2",0,"2","A"
"460",0.64,"M2",1.26365810966394,"2","M"
"461",0.64,"F2",12478139.0576036,"2","F"
"462",0.64,"C",994722575.640578,"C","C"
"463",0.65,"A1",12048.5779147947,"1","A"
"464",0.65,"M1",12846681.7506278,"1","M"
"465",0.65,"F1",0,"1","F"
"466",0.65,"A2",0,"2","A"
"467",0.65,"M2",1.29067087010492,"2","M"
"468",0.65,"F2",12521377.8260235,"2","F"
"469",0.65,"C",994629889.732549,"C","C"
"470",0.66,"A1",12083.1709922567,"1","A"
"471",0.66,"M1",12896285.0978467,"1","M"
"472",0.66,"F1",0,"1","F"
"473",0.66,"A2",0,"2","A"
"474",0.66,"M2",1.31795036058687,"2","M"
"475",0.66,"F2",12564766.3833952,"2","F"
"476",0.66,"C",994536863.191052,"C","C"
"477",0.67,"A1",12117.8633587666,"1","A"
"478",0.67,"M1",12946079.9261424,"1","M"
"479",0.67,"F1",0,"1","F"
"480",0.67,"A2",0,"2","A"
"481",0.67,"M2",1.34549880262203,"2","M"
"482",0.67,"F2",12608305.2483256,"2","F"
"483",0.67,"C",994443494.761223,"C","C"
"484",0.68,"A1",12152.6552990859,"1","A"
"485",0.68,"M1",12996066.9743201,"1","M"
"486",0.68,"F1",0,"1","F"
"487",0.68,"A2",0,"2","A"
"488",0.68,"M2",1.37331843503845,"2","M"
"489",0.68,"F2",12651994.9412147,"2","F"
"490",0.68,"C",994349783.18357,"C","C"
"491",0.69,"A1",12187.5470987914,"1","A"
"492",0.69,"M1",13046246.9840325,"1","M"
"493",0.69,"F1",0,"1","F"
"494",0.69,"A2",0,"2","A"
"495",0.69,"M2",1.4014115141109,"2","M"
"496",0.69,"F2",12695835.9842623,"2","F"
"497",0.69,"C",994255727.193951,"C","C"
"498",0.7,"A1",12222.5390442773,"1","A"
"499",0.7,"M1",13096620.6997913,"1","M"
"500",0.7,"F1",0,"1","F"
"501",0.7,"A2",0,"2","A"
"502",0.7,"M2",1.42978031369276,"2","M"
"503",0.7,"F2",12739828.9014738,"2","F"
"504",0.7,"C",994161325.523561,"C","C"
"505",0.71,"A1",12257.6314227579,"1","A"
"506",0.71,"M1",13147188.8689778,"1","M"
"507",0.71,"F1",0,"1","F"
"508",0.71,"A2",0,"2","A"
"509",0.71,"M2",1.45842712534883,"2","M"
"510",0.71,"F2",12783974.2186665,"2","F"
"511",0.71,"C",994066576.898908,"C","C"
"512",0.72,"A1",12292.8245222694,"1","A"
"513",0.72,"M1",13197952.2418542,"1","M"
"514",0.72,"F1",0,"1","F"
"515",0.72,"A2",0,"2","A"
"516",0.72,"M2",1.48735425848921,"2","M"
"517",0.72,"F2",12828272.4634761,"2","F"
"518",0.72,"C",993971480.041806,"C","C"
"519",0.73,"A1",12328.1186316728,"1","A"
"520",0.73,"M1",13248911.5715743,"1","M"
"521",0.73,"F1",0,"1","F"
"522",0.73,"A2",0,"2","A"
"523",0.73,"M2",1.5165640405041,"2","M"
"524",0.73,"F2",12872724.1653625,"2","F"
"525",0.73,"C",993876033.669346,"C","C"
"526",0.74,"A1",12363.5140406557,"1","A"
"527",0.74,"M1",13300067.6141952,"1","M"
"528",0.74,"F1",0,"1","F"
"529",0.74,"A2",0,"2","A"
"530",0.74,"M2",1.54605881689966,"2","M"
"531",0.74,"F2",12917329.8556167,"2","F"
"532",0.74,"C",993780236.49389,"C","C"
"533",0.75,"A1",12399.0110397353,"1","A"
"534",0.75,"M1",13351421.1286878,"1","M"
"535",0.75,"F1",0,"1","F"
"536",0.75,"A2",0,"2","A"
"537",0.75,"M2",1.57584095143486,"2","M"
"538",0.75,"F2",12962090.0673664,"2","F"
"539",0.75,"C",993684087.223043,"C","C"
"540",0.76,"A1",12434.6099202602,"1","A"
