SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv,log_Mut_freq0,log_Mut_freq_change,log_Mut_freq_change2
pDGs_S.pB10,1356,1.0220005487008985e-15,0.5168163265306123,72,0,0,1000536551.8399736,0,-14.990548871033294,1000536551.8399736,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1357,1.4883889431059898e-15,0.5168163265306123,72,0,0,1000536551.8399328,0,-14.827283564910845,1000536551.8399328,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1358,2.1676129712220946e-15,0.5168163265306123,72,0,0,1000536551.839933,0,-14.664018258788396,1000536551.839933,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1359,3.1567998504512458e-15,0.5168163265306123,72,0,0,1000536551.8399292,0,-14.500752952665946,1000536551.8399292,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1360,4.597400655980828e-15,0.5168163265306123,72,0,0,1000536551.8399084,0,-14.337487646543497,1000536551.8399084,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1361,6.695417445800901e-15,0.5168163265306123,72,0,0,1000536551.8399068,0,-14.174222340421048,1000536551.8399068,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1362,9.750861003427414e-15,0.5168163265306123,72,0,0,1000536551.8399332,0,-14.010957034298599,1000536551.8399332,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1363,1.4200651576667772e-14,0.5168163265306123,72,0,0,1000536551.8399736,0,-13.84769172817615,1000536551.8399736,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1364,2.0681097303205752e-14,0.5168163265306123,72,0,0,1000536551.8399082,0,-13.6844264220537,1000536551.8399082,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1365,3.0118884570578663e-14,0.5168163265306123,72,0,0,1000536551.8399729,0,-13.521161115931253,1000536551.8399729,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1366,4.3863591688397966e-14,0.5168163265306123,72,0,0,1000536551.8399084,0,-13.357895809808804,1000536551.8399084,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1367,6.38806749731346e-14,0.5168163265306123,72,0,0,1000536551.8399231,0,-13.194630503686355,1000536551.8399231,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1368,9.303252373887645e-14,0.5168163265306123,72,0,0,1000536551.8399278,0,-13.031365197563906,1000536551.8399278,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
