SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv
pHFC_S.pB10-A,4876,1.8511087625903633e-12,0.6108787878787879,29,0,0,293846874.25252044,238673668.4799701,-11.732568063362088,293846874.25252044,238673668.4799701,0.5518038285334904,0.44819617146650964,0.009900990099009901,0.43829518136749973,Increase
pHFC_S.pB10-A,4877,2.2296670579441397e-12,0.6108787878787879,29,0,0,293525178.419154,287191770.81901765,-11.651759982554008,293525178.419154,287191770.81901765,0.5054530934635583,0.4945469065364418,0.009900990099009901,0.4846459164374319,Increase
pHFC_S.pB10-A,4878,2.6856418648920913e-12,0.6108787878787879,29,0,0,293087176.4779396,345442125.7633244,-11.570951901745929,293087176.4779396,345442125.7633244,0.45900348730933976,0.5409965126906602,0.009900990099009901,0.5310955225916503,Increase
pHFC_S.pB10-A,4879,3.234865134129739e-12,0.6108787878787879,29,0,0,292461284.31280273,415250849.8728082,-11.490143820937845,292461284.31280273,415250849.8728082,0.41324893298508736,0.5867510670149125,0.009900990099009901,0.5768500769159026,Increase
pHFC_S.pB10-A,4880,3.8964065063189595e-12,0.6108787878787879,29,0,0,291488990.5538833,498592474.3523992,-11.409335740129766,291488990.5538833,498592474.3523992,0.368935361100338,0.6310646388996621,0.009900990099009901,0.6211636488006522,Increase
pHFC_S.pB10-A,4881,4.6932354311485455e-12,0.6108787878787879,29,0,0,289687539.3370264,596991685.7919114,-11.328527659321685,289687539.3370264,596991685.7919114,0.32671064250422815,0.6732893574957719,0.009900990099009901,0.663388367396762,Increase
pHFC_S.pB10-A,4882,5.653018692086382e-12,0.6108787878787879,29,0,0,283394899.87778676,703865576.6614708,-11.247719578513603,283394899.87778676,703865576.6614708,0.28705180305728345,0.7129481969427166,0.009900990099009901,0.7030472068437067,Increase
pHFC_S.pB10-A,4883,6.809081027767097e-12,0.6108787878787879,29,0,0,250033888.65620816,749966611.5879673,-11.166911497705524,250033888.65620816,749966611.5879673,0.2500337635782743,0.7499662364217258,0.009900990099009901,0.7400652463227159,Increase
pHFC_S.pB10-A,4884,8.201562203854385e-12,0.6108787878787879,29,0,0,216269392.18577936,783731247.3545167,-11.086103416897442,216269392.18577936,783731247.3545167,0.2162692538728767,0.7837307461271233,0.009900990099009901,0.7738297560281134,Increase
pHFC_S.pB10-A,4885,9.87881071019524e-12,0.6108787878787879,29,0,0,185908987.5531102,814091760.4078312,-11.005295336089361,185908987.5531102,814091760.4078312,0.18590884850055286,0.8140911514994471,0.009900990099009901,0.8041901614004372,Increase
pHFC_S.pB10-A,4886,1.1899062473976506e-11,0.6108787878787879,29,0,0,158924594.26925853,841076284.3599135,-10.924487255281282,158924594.26925853,841076284.3599135,0.15892445463359656,0.8410755453664035,0.009900990099009901,0.8311745552673936,Increase
pHFC_S.pB10-A,4887,1.4332462875665142e-11,0.6108787878787879,29,0,0,135187600.98827362,864813435.140432,-10.8436791744732,135187600.98827362,864813435.140432,0.13518746091666473,0.8648125390833353,0.009900990099009901,0.8549115489843254,Increase
pHFC_S.pB10-A,4888,1.726350227436625e-11,0.6108787878787879,29,0,0,114496736.0480524,885504489.9479337,-10.762871093665119,114496736.0480524,885504489.9479337,0.11449659567568568,0.8855034043243143,0.009900990099009901,0.8756024142253044,Increase
pHFC_S.pB10-A,4889,2.0793949606739624e-11,0.6108787878787879,29,0,0,96604163.17406012,903397291.747942,-10.68206301285704,96604163.17406012,903397291.747942,0.09660402262274212,0.9033959773772579,0.009900990099009901,0.8934949872782479,Increase
pHFC_S.pB10-A,4890,2.504638591728072e-11,0.6108787878787879,29,0,0,81237820.43846814,918763910.560103,-10.601254932048956,81237820.43846814,918763910.560103,0.08123767981616045,0.9187623201838396,0.009900990099009901,0.9088613300848297,Increase
pHFC_S.pB10-A,4891,3.0168460508052245e-11,0.6108787878787879,29,0,0,68119126.36774175,931882937.65176785,-10.520446851240877,68119126.36774175,931882937.65176785,0.06811898576882615,0.9318810142311739,0.009900990099009901,0.921980024132164,Increase
pHFC_S.pB10-A,4892,3.6338017486106077e-11,0.6108787878787879,29,0,0,56976009.50613655,943026456.3441104,-10.439638770432797,56976009.50613655,943026456.3441104,0.05697586901217588,0.9430241309878241,0.009900990099009901,0.9331231408888142,Increase
pHFC_S.pB10-A,4893,4.376927070800054e-11,0.6108787878787879,29,0,0,47551736.65930978,952451214.2234892,-10.358830689624714,47551736.65930978,952451214.2234892,0.04755159634012208,0.9524484036598779,0.009900990099009901,0.942547413560868,Increase
pHFC_S.pB10-A,4894,5.2720241522331505e-11,0.6108787878787879,29,0,0,39610267.461580694,960393269.1366056,-10.278022608816634,39610267.461580694,960393269.1366056,0.039610127376476054,0.960389872623524,0.009900990099009901,0.9504888825245141,Increase
pHFC_S.pB10-A,4895,6.350171755694642e-11,0.6108787878787879,29,0,0,32938924.539387856,967065319.7256292,-10.197214528008553,32938924.539387856,967065319.7256292,0.03293878473845609,0.967061215261544,0.009900990099009901,0.9571602251625341,Increase
pHFC_S.pB10-A,4896,7.648804360985532e-11,0.6108787878787879,29,0,0,27349113.77079428,972655986.041037,-10.116406447200472,27349113.77079428,972655986.041037,0.027348974296171592,0.9726510257038284,0.009900990099009901,0.9627500356048185,Increase
pHFC_S.pB10-A,4897,9.21301193155386e-11,0.6108787878787879,29,0,0,22675716.861756373,977330418.0616976,-10.035598366392392,22675716.861756373,977330418.0616976,0.02267557774882261,0.9773244222511774,0.009900990099009901,0.9674234321521675,Increase
pHFC_S.pB10-A,4898,1.1097105488003039e-10,0.6108787878787879,29,0,0,18775648.670696262,981231739.758,-9.954790285584311,18775648.670696262,981231739.758,0.018775509949179765,0.9812244900508202,0.009900990099009901,0.9713234999518103,Increase
pHFC_S.pB10-A,4899,1.3366502846924836e-10,0.6108787878787879,29,0,0,15525947.96042419,984482960.1109884,-9.87398220477623,15525947.96042419,984482960.1109884,0.015525809655403042,0.9844741903445969,0.009900990099009901,0.974573200245587,Increase
