SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2
testmut,50,0,-0.04000000000000001,1.4e-14,0.35,77,0,0,10000000,0
testmut,51,0.4000000000000003,-0.04000000000000001,3.5166410041134154e-14,0.35,308,0,10000000,0,0
testmut,52,0.8000000000000003,-0.04000000000000001,8.833402822722711e-14,0.35,231,0,0,0,10000000
testmut,53,1.2000000000000002,-0.04000000000000001,2.21885046944556e-13,0.35,231,0,0,0,10000000
testmut,54,1.6,-0.04000000000000001,5.573500387748963e-13,0.35,154,0,10000000,0,0
testmut,55,2,-0.04000000000000001,1.4e-12,0.35,154,0,10000000,0,0
testmut,56,-2,0,1.4e-16,0.39,77,0,0,10000000,0
testmut,57,-1.6,0,3.5166410041134115e-16,0.39,77,0,0,10000000,0
testmut,58,-1.2,0,8.833402822722708e-16,0.39,77,0,0,10000000,0
testmut,59,-0.7999999999999998,0,2.2188504694455602e-15,0.39,77,0,0,10000000,0
testmut,60,-0.3999999999999999,0,5.573500387748963e-15,0.39,77,0,0,10000000,0
testmut,61,0,0,1.4e-14,0.39,77,0,0,10000000,0
testmut,62,0.4000000000000003,0,3.5166410041134154e-14,0.39,308,0,10000000,0,0
testmut,63,0.8000000000000003,0,8.833402822722711e-14,0.39,231,0,0,0,10000000
testmut,64,1.2000000000000002,0,2.21885046944556e-13,0.39,231,0,0,0,10000000
testmut,65,1.6,0,5.573500387748963e-13,0.39,154,0,10000000,0,0
testmut,66,2,0,1.4e-12,0.39,154,0,10000000,0,0
testmut,67,-2,0.03999999999999998,1.4e-16,0.43,77,0,0,10000000,0
testmut,68,-1.6,0.03999999999999998,3.5166410041134115e-16,0.43,77,0,0,10000000,0
testmut,69,-1.2,0.03999999999999998,8.833402822722708e-16,0.43,77,0,0,10000000,0
testmut,70,-0.7999999999999998,0.03999999999999998,2.2188504694455602e-15,0.43,77,0,0,10000000,0
testmut,71,-0.3999999999999999,0.03999999999999998,5.573500387748963e-15,0.43,77,0,0,10000000,0
testmut,72,0,0.03999999999999998,1.4e-14,0.43,385,0,0,0,10000000
testmut,73,0.4000000000000003,0.03999999999999998,3.5166410041134154e-14,0.43,308,0,10000000,0,0
testmut,74,0.8000000000000003,0.03999999999999998,8.833402822722711e-14,0.43,231,0,0,0,10000000
testmut,75,1.2000000000000002,0.03999999999999998,2.21885046944556e-13,0.43,231,0,0,0,10000000
testmut,76,1.6,0.03999999999999998,5.573500387748963e-13,0.43,154,0,10000000,0,0
testmut,77,2,0.03999999999999998,1.4e-12,0.43,154,0,10000000,0,0
testmut,78,-2,0.08000000000000002,1.4e-16,0.47,77,0,0,10000000,0
testmut,79,-1.6,0.08000000000000002,3.5166410041134115e-16,0.47,77,0,0,10000000,0
testmut,80,-1.2,0.08000000000000002,8.833402822722708e-16,0.47,77,0,0,10000000,0
testmut,81,-0.7999999999999998,0.08000000000000002,2.2188504694455602e-15,0.47,77,0,0,10000000,0
testmut,82,-0.3999999999999999,0.08000000000000002,5.573500387748963e-15,0.47,77,0,0,10000000,0
testmut,83,0,0.08000000000000002,1.4e-14,0.47,385,0,0,0,10000000
testmut,84,0.4000000000000003,0.08000000000000002,3.5166410041134154e-14,0.47,308,0,10000000,0,0
testmut,85,0.8000000000000003,0.08000000000000002,8.833402822722711e-14,0.47,231,0,0,0,10000000
testmut,86,1.2000000000000002,0.08000000000000002,2.21885046944556e-13,0.47,231,0,0,0,10000000
testmut,87,1.6,0.08000000000000002,5.573500387748963e-13,0.47,154,0,10000000,0,0
testmut,88,2,0.08000000000000002,1.4e-12,0.47,154,0,10000000,0,0
testmut,89,-2,0.12,1.4e-16,0.51,77,0,0,10000000,0
testmut,90,-1.6,0.12,3.5166410041134115e-16,0.51,77,0,0,10000000,0
testmut,91,-1.2,0.12,8.833402822722708e-16,0.51,77,0,0,10000000,0
testmut,92,-0.7999999999999998,0.12,2.2188504694455602e-15,0.51,77,0,0,10000000,0
testmut,93,-0.3999999999999999,0.12,5.573500387748963e-15,0.51,77,0,0,10000000,0
testmut,94,0,0.12,1.4e-14,0.51,308,0,10000000,0,0
testmut,95,0.4000000000000003,0.12,3.5166410041134154e-14,0.51,231,0,0,0,10000000
testmut,96,0.8000000000000003,0.12,8.833402822722711e-14,0.51,231,0,0,0,10000000
testmut,97,1.2000000000000002,0.12,2.21885046944556e-13,0.51,154,0,10000000,0,0
testmut,98,1.6,0.12,5.573500387748963e-13,0.51,154,0,10000000,0,0
testmut,99,2,0.12,1.4e-12,0.51,154,0,10000000,0,0
testmut,100,-2,0.15999999999999998,1.4e-16,0.55,77,0,0,10000000,0
testmut,101,-1.6,0.15999999999999998,3.5166410041134115e-16,0.55,77,0,0,10000000,0
